obry-00046	Republican Patrick Testin ran against Democratic incumbent Julie Lassa for Wisconsin State Senate in District 24 and won the election by just over 4,000 votes. Testin released a video advertisement on November 2 entitled “Raise the Bar” where he stated the following: “We’ve been weighed down by 18 years of the same failed leadership, but together we can lift our communities back up.” This advertisement employs broad and ambiguous terms, such as “we,” “failed” and “communities” without context for what those terms are defined as in relation to the campaign. While unspecified terms can potentially appeal to a wider audience, it also doesn’t answer any real policy issue questions or explain what Testin would do as a candidate if elected to public office. 	unobservable	https://observatory.journalism.wisc.edu/2016/11/16/testin-addresses-same-failed-leadershipin-video-advertisement/	None	None	None	Kerry Huth	None	Testin addresses “same failed leadership”in video advertisement	December 16, 2016	None	['Democratic_Party_(United_States)', 'Wisconsin_State_Senate', 'Republican_Party_(United_States)']
obry-00038	Incumbent Republican Senator Rob Portman is continuing to apply pressure to former Democratic Governor Ted Strickland in the Ohio Senate race. In a recent Facebook post on his campaign’s page, Portman made numerous claims pertaining to the effectiveness of Strickland’s political history. “After 12 years in Congress, Ted Strickland was ranked as one of the most absent and ineffective members of Congress and never authored a single bill that became law. Under Governor Ted Strickland, Ohio lost over 350,000 jobs and ranked 48th in job creation,” said Portman. Strickland served as the representative for Ohio’s 6th Congressional District from 1993-94 and 1997-2006. According to GovTrack — a nonpartisan, open data website that tracks the work of the U.S. Congress — from January 1993 to December 2006, Strickland missed 364 out of 6,954 roll-call votes. Strickland missed 5.2 percent of the votes held during his congressional career, noticeably worse than the 2.9 percent lifetime average among all the representatives serving during December 2006. 	verified	https://observatory.journalism.wisc.edu/2016/11/29/portman-claims-strickland-ineffective-in-congress-as-governor/	None	None	None	Max Beyer and Riley Vetterkind	None	Portman claims Strickland ineffective in Congress, as governor	November 29, 2016	None	['Ted_Strickland', 'United_States_Congress', 'Ohio', 'Democratic_Party_(United_States)', 'Republican_Party_(United_States)', 'Congressional_district']
obry-00033	In an Oct. 5 Facebook post, Democratic Assembly candidate Bryan Van Stippen made the claim that “42% of roads in Wisconsin are rated either mediocre or poor. Northwoods rural roads have been neglected by Madison. Our state tax dollars have been spent by Senator Tiffany on gigantic interchanges in Milwaukee and Madison.” The post linked to a press release from DRIVE: Devote Resources, Invest for a Vibrant Economy, which describes itself as “a new legislative advocacy organization focusing on building and maintaining a safe and secure transportation infrastructure in the state.” The announcement did report  42 percent of roads in Wisconsin as being in “mediocre to poor condition,” but did not include the  source of this information. The number appears to come from a May 2016 report from TRIP, a nonprofit, transportation policy think tank that focuses on “surface transportation issues.” 	mostly true	https://observatory.journalism.wisc.edu/2016/12/16/how-bad-are-wisconsins-roads/	None	None	None	Hayley Sperling	None	How bad are Wisconsin’s roads?	December 16, 2016	None	['Wisconsin', 'Milwaukee', 'Madison,_Wisconsin']
obry-00016	In response to Gov. Scott Walker’s State of the State address in January, Milwaukee attorney and Wisconsin gubernatorial candidate Matt Flynn released a statement claiming that “Wisconsin still lags behind the rest of the country in wage growth. Adjusted for inflation, median wages today are lower than they were before (Walker) was elected.” The Observatory checked both claims by the Democratic candidate: That Wisconsin’s wages have grown more slowly than the rest of the country and that our median wages are lower today than in 2010. According to Flynn, Wisconsin’s wages are not growing fast enough to match or surpass the U.S. average. Reviewing data from the Census Bureau shows that the since 2010, the median wages in Wisconsin have lagged behind the U.S. median wage. 	verified	https://observatory.journalism.wisc.edu/2018/04/11/dem-challenger-claims-wisconsin-wages-low-under-gov-scott-walker/	None	None	None	Mason Muerhoff	None	Dem. challenger claims Wisconsin wages low under Gov. Scott Walker	April 11, 2018	None	['United_States', 'Wisconsin', 'Milwaukee', 'Democratic_Party_(United_States)', 'Matt_Flynn', 'Scott_Walker_(politician)']
obry-00043	On Sept. 21 Rep. Todd Novak, incumbent Republican candidate for Wisconsin’s 51st Assembly District, sat down with Steve Walters of WisconsinEye for an interview. Novak beat his Democratic challenger, Jeff Wright, in a close contest Nov. 8. Novak told Walters one of his top priorities is funding transportation, but he was concerned about additional borrowing to fund improvements. He said more attention should be given to revenue enhancers, including toll roads and raising the gas tax. Novak acknowledged reluctantly that he would consider voting to raise the gas tax. 	mostly true	https://observatory.journalism.wisc.edu/2016/11/18/is-wisconsins-gas-tax-among-the-highest-in-the-nation/	None	None	None	Lauren Sklba	None	Is Wisconsin’s gas tax among the highest in the nation?	December 16, 2016	None	['Democratic_Party_(United_States)', 'Republican_Party_(United_States)', 'Robert_Novak', 'Wisconsin']
obry-00057	The candidates vying for a seat in Wisconsin’s 94th Assembly District addressed state education funding late August. After incumbent Democrat Steve Doyle said in an interview with News 8 that a lack of state funding over the last six years was forcing schools to use referendums to cover costs, Republican challenger Julian Bradley, of La Crosse, said that funding for local districts had in fact increased recently. “People like to talk about the cuts, but we’ve actually seen increases. The La Crosse School District, the Onalaska School District, West Salem, Melrose-Mindoro, we’ve seen increases across the board in funding in all of those areas, I want to make sure those continue to happen,” said Bradley to News 8 reporters. Is Bradley correct? It depends on when you start counting. 	mostly true	https://observatory.journalism.wisc.edu/2016/10/27/state-funding-for-schools-in-the-94th-assembly-district-increasing-or-decreasing/	None	None	None	Max Bayer	None	State funding for schools in the 94th assembly district: increasing or decreasing?	October 27, 2016	None	['Republican_Party_(United_States)', 'Wisconsin', 'Democratic_Party_(United_States)']
obry-00052	Julie Lassa, the Democratic incumbent running for District 24 State Assembly of Wisconsin, published an op-ed in the Wisconsin Rapids City Times on Sept. 9. She discussed student loan debt and a bill called Higher Ed Lower Debt. According to Lassa, the bill would create a Wisconsin Student Loan Refinancing Authority, which would allow individuals to refinance their loans through the state. According to Lassa, “The typical Wisconsin student who graduates with a bachelor’s degree will make student loan payments of about $388 per month for almost 19 years.” According to the Institute for College Access and Success, an independent nonprofit organization focused on college affordability, the average student debt for a Wisconsin student is $28,810, which Lassa also stated in her article. 	unobservable	https://observatory.journalism.wisc.edu/2016/11/07/the-debt-trail-for-wisconsin-college-graduates/	None	None	None	Kerry Huth	None	The debt trail for Wisconsin college graduates	December 16, 2016	None	['Wisconsin', 'Democratic_Party_(United_States)']
obry-00002	The debate about Wisconsin’s infrastructure and road quality remains at the forefront of the 2018 gubernatorial election. In an article published by the Milwaukee Journal Sentinel on Aug. 16, Democratic gubernatorial candidate Tony Evers said fixing Wisconsin’s roads is a top priority, saying the condition of the state’s roads is ranked 49 out of 50 in the country. When asked by The Observatory where Evers got this statistic, his campaign cited two resources. 	mostly true	https://observatory.journalism.wisc.edu/2018/09/28/candidate-evers-calls-wisconsins-roads-2nd-worst-in-the-u-s-are-they/	None	None	None	Izabela Zaluska	None	Candidate Evers calls Wisconsin’s roads 2nd worst in the U.S. Are they?	October 16, 2018	None	['Milwaukee_Journal_Sentinel', 'Wisconsin', 'Democratic_Party_(United_States)']
obry-00056	On her campaign website, Republican candidate for Wisconsin’s 68th assembly district Kathy Bernier, a three-term assemblywoman, claims she “voted for the first balanced budget Wisconsin has seen in decades.” She furthers her statement by claiming that “these hard choices helped eliminate the state’s $3.6 billion deficit.” Bernier, who has served in the state assembly since 2010, is referring to her vote in 2011 in favor of Wisconsin Act 10, or the Wisconsin Budget Repair Bill, that Gov. Scott Walker introduced. The bill, arguably the most controversial of Gov. Walker’s tenure, addressed a projected $3.6 billion budget deficit. Cuts were felt across the the board for public sector employees, affecting collective bargaining rights and a wide range of benefits. Gov. Walker’s Act 10, however substantial, cannot, as Bernier claims, be considered to have led to the first balanced budget in decades. 	mostly false	https://observatory.journalism.wisc.edu/2016/10/27/bernier-capitalizes-on-definition-of-deficit/	None	None	None	Riley Vetterkind	None	Bernier capitalizes on definition of deficit	November 11, 2016	None	['Wisconsin', 'Republican_Party_(United_States)', 'Scott_Walker_(politician)']
obry-00025	In September 2017, Gov. Scott Walker signed the Wisconsin state budget for 2017-19. State Senate Majority Leader Scott Fitzgerald, R-Juneau, tweeted “we made historic investments in k12 education, with increases of over $200 per pupil each year totaling over $630 million.” The Observatory decided to fact-check Fitzgerald’s claims. We made historic investments in K12 education, with increases of over $200 per pupil each year totaling over $630 million. 	verified	https://observatory.journalism.wisc.edu/2018/03/07/sen-scott-fitzgerald-touts-historic-investment-in-k-12-aid-is-he-right/	None	None	None	Taylor Palmby	None	Sen. Scott Fitzgerald touts ‘historic’ investment in K-12 aid; is he right?	October 17, 2018	None	['Wisconsin', 'Scott_Walker_(politician)', 'F._Scott_Fitzgerald']
