pomt-13039	There was "serious voter fraud" in Virginia.	pants on fire!	/virginia/statements/2016/nov/29/donald-trump/trumps-pants-fire-serious-voter-fraud-claim-virgin/	President-elect Donald Trump has peppered his Twitter account with a charge that the presidential election was marred by voter fraud in Virginia and two other states that he lost. "Serious voter fraud in Virginia, New Hampshire and California - so why isn’t the media reporting on this? Serious bias," Trump said in a Nov. 27 tweet. It was the last in a series of 13 tweets in which Trump, without evidence, claimed "millions of people" across the nation voted illegally on Nov. 8, robbing him of a plurality of popular votes - even though he won the crucial majority of Electoral College votes. The latest returns show Democrat Hillary Clinton drew about 2.3 million more popular votes than Trump, a Republican. Our colleagues at PolitiFact National looked into Trump’s claim that millions voted illegally and rated it Pants on Fire. We investigated Trump’s claim about Virginia, to see whether "serious voter fraud" occurred in the state. Clinton won Virginia, garnering 1.98 million votes compared with Trump’s 1.77 million, according to tallies posted by the Virginia Department of Elections. In other words, she got about 210,000 more votes than Trump. We emailed Trump’s campaign and his transition team to learn the basis of his fraud claim but did not get a response. As news of Trump’s comments swirled, the Virginia Department of Elections issued a prepared statement from Commissioner Edgardo Cortes batting down the president-elect’s statement. "The claims of voter fraud in Virginia during the November 8 election are unfounded," Cortes said. "Virginia's election was well administered by our 133 professional local registrars, with help from hundreds of election officials and volunteers who worked to guarantee a good experience for eligible Virginia voters. The election was fair and all votes cast by eligible voters were accurately counted." Martin Mash, a policy adviser for the Department of Elections, told us in an email that the department has not received any specific allegations of vote fraud during the Nov. 8 election. Vote-fraud allegations would be forwarded to law-enforcement officials, he said. Michael Kelly, a spokesman for Democratic Attorney General Mark Herring, said in an email that his office has not received any reports of illegal voting in this election. We contacted John Fredericks, who was chairman of Trump’s Virginia campaign. He said on Election Day that officials from from Trump’s campaign and the state GOP set up a call center in Richmond to take reports of voting irregularities. Although the center received hundreds of calls, nothing caused great concern, he said. Fredericks told us he is not aware of any "massive voter fraud on Election Day" beyond "many isolated incidents" of people voting without having proper identification who wanted provisional ballots. Fredericks added that flaws in the state’s election system allow avenues for illegitimate ballots and that there are "real examples of real potential voter fraud or the groundwork for voting fraud being laid." For example, Fredericks pointed to a well-publicized case from Harrisonburg where 18 to 20 people who died ended up on voter rolls. The FBI is probing that case of potential voter fraud. But it should be noted that that this irregularity was discovered in September - well in advance of Election Day. Another case being prosecuted in Alexandria involves what appears to be a relatively small number of fake voter registration applications, and it was also found before Election Day, the Richmond Times-Dispatch noted in an article this week. We also emailed the Republican Party of Virginia for its take on Trump’s "serious voter fraud" claim. GOP Chairman John Whitbeck said state Republicans are deferring to the incoming White House administration for a response to Trump’s claim. A final note: Our colleagues at PolitiFact New Hampshire and PolitiFact California also gave Pants on Fire ratings to Trump’s claim of serious voter fraud in those states. Our ruling Trump said there was "serious voter fraud in Virginia" during this presidential election. The top state election official in Virginia says the charge is "unfounded." The former chairman of Trump’s Virginia campaign says he’s unaware of any "massive voter fraud on Election Day." There’s a burden on Trump to prove his sensational claim, and the president-elect offers no evidence. We rate his statement Pants on Fire. https://www.sharethefacts.co/share/84f77a8d-d9e2-4cb8-be2d-a26a237887b2	None	Donald Trump	None	None	None	2016-11-29T14:33:18	2016-11-27	['Virginia']
pomt-05372	Says that Rep. Betty Sutton "would rather riot with Occupy (Wall Street) than stand up for Ohio families."	pants on fire!	/ohio/statements/2012/may/09/national-republican-congressional-committee/nrcc-says-betty-sutton-supports-occupy-wall-street/	Republicans moved quickly to politicize what federal agents have described as a failed bomb plot cooked up by anarchists connected to the Occupy Cleveland organization. The group, an offshoot of last fall’s anti-Wall Street demonstrations in New York, is not under investigation, officials stressed May 1, 2012, when announcing the arrests of five suspects. But that did little to stop the GOP from buzzing about the movement’s support among Democrats. The most direct attack came May 2, 2012, from the National Republican Congressional Committee. The group is working to unseat Rep. Betty Sutton, a Democrat from Copley Township near Akron. Redistricting put her into battle this fall against fellow Rep. Jim Renacci of Wadsworth. In an email, the NRCC blasted Sutton for not immediately denouncing the accused anarchists and noted that the congresswoman attended an Occupy rally last October in New York. The email, sent by NRCC Deputy Communications Director Andrea Bozek, accuses Sutton of missing votes to protest with Occupy Wall Street and being slow to criticize the "plot by Occupy members to blow up an Ohio bridge." Bozek then delivered the punchy email’s parting shot. "Sutton’s cowardly silence shows she would rather riot with Occupy than stand up for Ohio families." When it comes to Occupy, it’s no secret Sutton has been a supporter. But a rioter? PolitiFact Ohio decided to check that accusation. Bozek provided a link to a story that was published last October in The Plain Dealer and online at Cleveland.com. The story reported on Sutton’s travel to the Occupy rally in New York. Bozek also shared an NRCC video montage of Occupy protesters preaching communism and engaging in other unruly behavior. An oft-used image of a man defecating on a police car makes a cameo. The video targets another congressional Democrat, Steve Israel of New York. Asked if any of the clips came from the event Sutton attended, Bozek replied: "That video demonstrates the kind of behavior that defines this radical group. Multiple arrests, sexual assaults, attacks on police officers and … vandalism. Is that what Betty Sutton supports?" "The congresswoman does not ever condone or participate in riotous behavior," said Sutton spokesman Anthony DeAngelo. The New York rally last fall is the only Occupy event Sutton has attended, DeAngelo told PolitiFact Ohio. We checked news reports from that day and found little to support the NRCC’s attack. Yes, there were violent outbursts -- an element necessary to meet nearly any modern definition of riot. The New York Times City Room blog reported that 23 people were arrested during the Oct. 5 protests, including one charged with second-degree riot -- a misdemeanor. According to New York penal code, rioting in the second degree occurs when someone in a group of at least four "engages in tumultuous and violent conduct," risking "public alarm." But we suspect the New York Times would have noted an Ohio congresswoman among the group had Sutton been involved. But the newspaper didn’t because Sutton wasn’t. DeAngelo offered a few photos of his boss at the rally. Sutton appears more dressed up than her fellow demonstrators, and her dark coat and purple blouse look no worse for the wear. Most coverage of the Oct. 5 protests indicated that violent behavior was the exception. That evening, on CNN’s broadcast of "Situation Room," reporter Susan Candiotti agreed with host Wolf Blitzer that the protests had been peaceful and that "there have been no confrontations." The NRCC is correct that Sutton missed votes to attend the rally last October. It is also accurate to say that Sutton did not send out a formal condemnation of the five bomb plot suspects, though, in fairness, neither did Renacci until after the NRCC attack. But the rhetorical flourish is where the NRCC’s claim departs from truthfulness. The NRCC email said that Sutton’s "cowardly silence shows she would rather riot with Occupy than stand up for Ohio families." Did Sutton stand with the Occupy Wall Street protesters in October? Yes. Did she engage in rioting? No. Was there even rioting at the rally Sutton attended? News coverage indicates violent behavior was the exception and that protests at the event were generally peaceful. Meanwhile, the material provided by the NRCC fails to support the notion that Sutton would support rioting. The NRCC claim is beyond False. On the Truth-O-Meter, the claim rates Pants on Fire.	None	National Republican Congressional Committee	None	None	None	2012-05-09T06:00:00	2012-05-02	['Ohio']
pomt-03553	A law that mandates fingerprinting for gun purchasers is "a requirement that's reduced gun crimes in the five states where it's the law."	mostly false	/truth-o-meter/statements/2013/may/23/marylanders-prevent-gun-violence-education-fund/ad-maryland-group-says-fingerprinting-gun-purchase/	With the debate over gun control still simmering, a reader asked us to fact-check an ad on Baltimore TV stations that promotes tough laws on gun purchases. The ad, was put together by Marylanders to Prevent Gun Violence, a group headed by Vincent DeMarco, an adjunct assistant professor at the Johns Hopkins Bloomberg School of Public Health. (We have written previously about the Bloomberg School’s role in gun policy research.) The group, whose board is chock full of Maryland political leaders, supported the gun-control bill signed earlier this year by Democratic Gov. Martin O’Malley. The group is now trying to shore up public support as the law faces expected legal challenges from the National Rifle Association and others. The ad focuses on fingerprint licensing laws. Under those laws, a potential gun purchaser must first obtain a license from law enforcement, which includes being fingerprinted, before being able to purchase a handgun. This is currently the law in Connecticut, Hawaii, Massachusetts, New Jersey and New York. Here’s the text of the ad, voiced by people identified on screen as a gun owner, a pastor and a mother: "Something had to be done, and here in Maryland we stood up and joined the governor and the Legislature to pass real solutions that reduce gun violence by getting weapons out of the hands of criminals, with a fingerprint licensing law that 68 percent of gun owners like me support, a requirement that's reduced gun crimes in the five states where it's the law. It will work for Maryland, and it could work for the entire country." We wondered if the fingerprint laws have "reduced gun crimes in the five states where it's the law"? By using the term "reduced," the ad is saying that gun crime was high before passage of these laws, and then dropped after they were enacted. But that’s not what the data shows. In fact, there's no data that shows the crimes declined, nor whether the fingerprint laws were the reason. We checked with Daniel W. Webster, director of the Johns Hopkins Center for Gun Policy and Research and a professor at the Johns Hopkins Bloomberg School of Public Health, which the group has cited as a source. Webster agreed that the text of the ad could have been phrased more carefully. "It would be more accurate to state that states with fingerprint-verified handgun purchaser licensing have much lower rates of gun homicide than states that do not," Webster said. He presented the following data for age-adjusted firearm homicide rates per 100,000 population between 1999 and 2010 for both the U.S. overall and for the five states with fingerprint-verified handgun purchaser licensing. The chart was compiled using data from the Centers for Disease Control and Prevention. Firearm homicide rates, 1999-2010 Total Population Non-Hispanic Whites Blacks Large Central Metro Counties United States 3.99 1.48 16.05 6.8 Connecticut 2.25 0.60 10.07 3.0 Hawaii 0.77 0.59 NA NA Massachusetts 1.50 0.40 9.10 6.0 New Jersey 2.74 0.60 12.31 7.8 New York 2.84 0.70 9.49 4.5 All this data shows is that states with the fingerprint law have lower firearm homicide rates, not that the rate fell after enactment of the fingerprint law. "Most of the laws were passed many decades ago, and there have not been studies to estimate their impact on violent crime," Webster said. There is some backhanded support for the ad’s claim in the one state -- Missouri -- that did the reverse when it rescinded its licensing requirement for gun purchasers in 2007. Webster said that following the law’s repeal, gun homicide rates increased by 25 percent between 1999-2007 and 2008-2010. (The Missouri case is analyzed here and here.) There also another problem with the ad’s phrasing: It was imprecise in using the term "gun crimes." The supporting data Webster cited refers to firearm homicide rates, which is just one subset of gun crimes. The FBI tracks gun robberies and gun assaults in addition to gun homicides. At least two politicians, O’Malley and Maryland state Sen. Brian Frosh, have been quoted in news reports offering versions of the claim that are more accurate. So how did the ad’s narration get mangled? DeMarco, the group’s president, told PolitiFact that his group "ran the script of the ad by Prof. Webster before running it and he approved it as accurate." But Webster responded by telling us that he approved the following language: "In the five states where fingerprint licensing is currently required for handgun purchases, gun death rates are among the lowest in the nation. According to experts at the Johns Hopkins Center for Gun Policy and Research, cities in states with handgun purchaser licensing laws have much lower rates of within-state illegal gun trafficking than those without licensing. According to the Center, ‘research suggests that, once implemented, Maryland’s handgun purchaser licensing law will reduce gun trafficking, gun crime, and gun homicides and can serve as a national model for other states.’" Somewhere along the way, the more accurate language got lost in translation. Our ruling The ad said that mandating the fingerprinting of those seeking to purchase a gun is "a requirement that's reduced gun crimes in the five states where it's the law." But that’s not a correct description of the statistics. Firearm homicide rates are lower in the five states that have such laws, but experts told us there are no before-and-after comparisons in those states to show that gun-crime rates were "reduced" after fingerprinting laws took effect. In addition, the ad refers to "gun crimes," but the supporting data looks specifically at gun homicides, not robberies and assaults committed with guns. The differences in wording are subtle, but at PolitiFact, one of our core principles is that the words used to make political claims matter. On balance, we rate the claim Mostly False.	None	Marylanders to Prevent Gun Violence Education Fund	None	None	None	2013-05-23T16:49:08	2013-05-19	['None']
goop-01089	Kim Kardashian Filing To Divorce Kanye West?	0	https://www.gossipcop.com/kim-kardashian-kanye-west-divorce-filing-false/	None	None	None	Shari Weiss	None	Kim Kardashian Filing To Divorce Kanye West?	2:30 am, May 1, 2018	None	['None']
abbc-00333	Before the 2013 federal election the Coalition promised to ensure that a fleet of 12 new submarines would be built in South Australia.	in-between	http://www.abc.net.au/news/2014-11-07/build-australias-new-submarine-fleet-in-adelaide-promise-check/5731260	None	['defence-forces', 'navy', 'defence-and-national-security', 'federal-government', 'liberals', 'adelaide-5000', 'sa', 'australia']	None	None	['defence-forces', 'navy', 'defence-and-national-security', 'federal-government', 'liberals', 'adelaide-5000', 'sa', 'australia']	Promise check: Build Australia's new submarine fleet in Adelaide	Sun 8 May 2016, 8:08am	None	['South_Australia', 'Coalition_(Australia)']
tron-03493	Alien Life Researchers Report That Three Giant Spaceships Are Heading Toward Earth	fiction!	https://www.truthorfiction.com/seti-alien-attack/	None	space-aviation	None	None	None	Alien Life Researchers Report That Three Giant Spaceships Are Heading Toward Earth	Mar 17, 2015	None	['None']
tron-03137	Michelle Obama Waved Flags of Communist China	fiction!	https://www.truthorfiction.com/michelle-obama-china-flag/	None	politics	None	None	None	Michelle Obama Waved Flags of Communist China	Mar 28, 2015	None	['None']
pomt-09387	"Our national debt ... is on track to exceed the size of our entire economy ... in just two more years."	true	/truth-o-meter/statements/2010/mar/26/john-boehner/boehner-says-federal-debt-will-equal-gdp-two-years/	Ever since Barack Obama became president and began advocating such big-dollar federal programs as an economic stimulus and health care reform, Republicans have gained increasing political traction with warnings to voters about the growing national debt. On March 24, 2010, House Minority Leader John Boehner, R-Ohio, published an op-ed in the Des Moines Register that was timed to coincide with a March 25 visit by Obama to Iowa City, Iowa. Obama visited Iowa City to tout the health care bill two days after signing it into law. Boehner's column -- titled, "Why Republicans will fight to repeal health care takeover" -- was a broadside against the newly signed bill, featuring a wide range of statistics. In it, he asserted that the health care bill "is a recipe for further fiscal disaster at a time when our national debt ($12.7 trillion today) is on track to exceed the size of our entire economy (about $15 trillion) in just two more years." That struck us as a huge amount, so we decided to take a closer look. First, we'll offer a reminder that the debt is different from a deficit. A deficit refers to the amount by which expenses exceed revenues in a single year. The debt -- which is what Boehner was referring to -- refers to the cumulative total of past deficits, minus any intervening surpluses. To sort out whether Boehner's numbers are right, we turned to the extensive historical tables in the president's fiscal year 2011 budget proposal. According to these figures, which come from the Office of Management and Budget, the gross federal debt by the end of fiscal year 2010 is projected to be almost $13.8 trillion. That's actually a bit more than Boehner had suggested. Two years later -- by the end of fiscal year 2012 -- the debt is projected to rise to $16.3 trillion, also higher than Boehner had indicated. But Boehner is correct that, measured by the share of gross domestic product, gross federal debt will reach a significant milestone in two years. By 2012, gross federal debt is projected to be 100.8 percent of gross domestic product, up from 99.0 percent for fiscal year 2011. These numbers, we'll add, have been growing for decades, roughly tripling since Jimmy Carter left the presidency. Under Ronald Reagan, debt as a percentage of GDP grew from 33.4 percent to 51.9 percent, and under George H.W. Bush, it grew from 51.9 percent to 64.1 percent. It declined under Bill Clinton, from 64.1 percent to 57.3 percent, before rising from 57.3 percent to 69.2 percent under George W. Bush. It's expected to soar during Obama's first four years from 69.2 percent to 100.8 percent. It's worth noting that there is an alternative measure of debt known as "public debt," which does not include money in the Social Security trust fund or other amounts that the government owes itself. Measured this way, the debt-to-GDP comparisons are much smaller. By the end of 2010, public debt is projected to be 60.3 percent of GDP, and by the end of 2012, it's projected to be 66.6 percent. Some economists prefer to use public debt rather than gross federal debt, but one measure "isn’t more 'right' than the other – they are just looking at different things," said Marc Goldwein, policy director for the Committee for a Responsible Federal Budget, a middle-of-the-road budget-hawk group. "Boehner may be cherry-picking, but I don’t think he’s misrepresenting in any way." It's also worth noting that these numbers are only estimates. They could change over the course of the next two years, depending on economic conditions and policy choices. Still, we consider Boehner's statistics valid. While he underestimates the size of the projected debt in 2010 and 2012, his assertion that "our national debt ... is on track to exceed the size of our entire economy ... in just two more years" is on target, according to the president's own Office of Management and Budget. So we rate his statement True.	None	John Boehner	None	None	None	2010-03-26T10:24:21	2010-03-24	['None']
pomt-06226	"Last year we spent more than $40 billion on highways. And Lord knows we need that. But that's more than we spent on Amtrak in its entire 40-year history."	true	/new-jersey/statements/2011/dec/05/frank-lautenberg/Lautenberg-says-federal-highway-spending-last-year/	Amtrak has always needed a money train. The nation’s rail system has been criticized by numerous lawmakers for always operating at a deficit and seeking financial boosts from Congress. But when compared with federal highway spending, Amtrak’s balance sheet doesn’t look so bad, according to Sen. Frank Lautenberg (D-NJ), a major proponent of rail transportation. "Last year we spent more than $40 billion on highways. And Lord knows we need that. But that's more than we spent on Amtrak in its entire 40-year history," Lautenberg said in an article on nola.com, the online home of the New Orleans Times-Picayune. Can it be that after 40 years of operation the money spent on Amtrak didn’t even equal one year of federal highway spending? PolitiFact New Jersey found the claim is right on track. Doug Hecox, a spokesman for the Federal Highway Administration in Washington, DC confirmed that highway spending for Fiscal Year 2010 (Oct. 1, 2009 to Sept. 30, 2010) exceeded $40 billion. Highway spending generally increases a small amount each year for inflation, he said. By comparison, Caley Gray, Lautenberg’s communications director, said Congress has spent $37.9 billion on Amtrak from Fiscal Year 1971 to Fiscal Year 2011, according to Amtrak. That’s a bit more than Amtrak’s total, but it supports Lautenberg’s statement. "In the forty years of Amtrak’s existence, the Federal government has invested a total of $36 billion in the Amtrak system – a figure that represents both operating and capital funding," Amtrak President and CEO Joseph H. Boardman said in Amtrak’s General and Legislative Annual Report to Senate President Joseph Biden Jr. and House Speaker John Boehner. Amtrak’s Comprehensive Business Plan for Fiscal Year 2012 was included with the report dated Feb. 7. "Between 1971 and 2008, by contrast, the Federal government has invested more than $421 billion in aviation and over a trillion dollars in the nation’s highways." Rod Diridon, executive director of the Mineta Transportation Institute in San Jose, Calif., suggested that Lautenberg wasn’t dismissing the need for highway funding, but pointing to other transportation needs for the nation. "His statement is accurate and I think his intent is to indicate that – certainly not to denigrate the highway system, but to note the world is in transition now, to move away to petroleum-based transportation to electrically based transportation." Diridon didn’t suggest people give up their vehicles, but said having an upgraded electric rail system can have many benefits: efficiency in moving people, less reliance on foreign oil and reduced environmental impact. Lautenberg touched on those points as well as increased ridership in a July 5 letter sent to Sens. Patty Murray (D-Wash.) and Susan Collins (R-Maine) supporting Amtrak’s $2.2 billion funding request for Fiscal Year 2012. Murray is chairman and Collins is a ranking member on the Appropriations Committee for Transportation, Housing and Urban Development, and Related Agencies. Lautenberg and 19 other U.S. senators signed the letter. Amtrak got $1.41 billion in assistance for its nearly $3.9 billion budget, said Clifford Cole, media relations manager for Amtrak Media Relations/Government Affairs in New York. Our ruling In an article about expanding rail routes and access in Louisiana, Lautenberg said Congress spent more than $40 billion on highways last year, more than has been spent on Amtrak in the national rail system’s 40-year history. The Federal Highway Administration confirmed the highway spending figure, as did Amtrak in a letter requesting $2.2 billion in federal assistance for its Fiscal Year 2012 budget. There’s nothing off the rails here. We rate this statement True. To comment on this story, go to NJ.com.	None	Frank Lautenberg	None	None	None	2011-12-05T07:30:00	2011-10-24	['Amtrak']
goop-00621	Sarah Jessica Parker, Matthew Broderick Living Separate Lives?	0	https://www.gossipcop.com/sarah-jessica-parker-matthew-broderick-separate-lives/	None	None	None	Andrew Shuster	None	Sarah Jessica Parker, Matthew Broderick Living Separate Lives?	1:59 pm, July 18, 2018	None	['None']
snes-01169	Donald Trump criticized President Barack Obama during the 2013 government shutdown for failing to "lead," "get everyone in a room," and "make a deal."	true	https://www.snopes.com/fact-check/trump-criticize-obama-shutdown/	None	Politics	None	David Mikkelson	None	Did Trump Criticize Obama for a Lack of Leadership During the 2013 Government Shutdown?	20 January 2018	None	['Barack_Obama', 'Donald_Trump']
