tron-00521	Silent Partner of Red Hen Restaurant is a Registered Sex Offender	unproven!	https://www.truthorfiction.com/red-hen-silent-partner-registered-sex-offender/	None	business	None	None	['donald trump', 'hillary clinton', 'sarah huckabee sanders']	Silent Partner of Red Hen Restaurant is a Registered Sex Offender	Jun 26, 2018	None	['None']
pomt-02526	"Six of Georgia’s counties have no lawyers at all."	true	/georgia/statements/2014/feb/10/hugh-thompson/access-legal-help-issue-justice-says/	In his first State of the Judiciary address, Chief Justice Hugh P. Thompson declared that all Georgians need access to justice, regardless of their economic backgrounds. And in many cases, he said, that means they need the services of a lawyer. Yet in Georgia, Thompson said, that's not as easy as it might seem. He cited statistics showing: 70 percent of Georgia's lawyers work in five metro Atlanta counties. 62 of Georgia's 159 counties have 10 or fewer lawyers. six counties are lawyerless. Too few lawyers? What about the so-called "lawyer glut?" In the interest of truth (and justice), we decided to do some checking. Jane Hansen, spokeswoman for the Georgia Supreme Court, said the chief justice's comments were based, in part, on a report by the State Bar of Georgia titled "Lawyer Distribution in Georgia." The report showed the state with 28,883 active lawyers in 2011, including 20,027 or 69.3 percent, working in Clayton, Cobb, DeKalb, Fulton and Gwinnett counties in metro Atlanta. The State Bar research revealed that there are no lawyers in six rural counties - Baker, Chattahoochee, Clay, Echols, Glasscock and Webster. In three of those counties, Baker, Clay and Echols, at least 30 percent of residents live in poverty, according to U.S. Census data. Follow-up research in August 2013 showed the number of lawyers in the state had grown to 29,973. But none of them had established a practice in those six lawyerless counties, said Michael L. Monahan, an attorney and pro bono director for the State Bar. The findings came directly from the State Bar’s membership data, Monahan said. In Georgia, membership in the State Bar is mandatory for all lawyers. In his address to a joint session of the state Senate and House of Representatives, Thompson recalled the promise of "liberty and justice for all" in the Pledge of Allegiance. "I don’t believe we ever meant ‘liberty and justice only for those who can afford it,’ " he said. "... As Georgia continues to grow in population and diversity, access to justice is a challenge requiring the commitment and hard work of us all." Thompson told lawmakers that many attorneys and two groups -- the Atlanta Volunteer Lawyers Foundation and the State Bar of Georgia -- have stepped up to offer their services at no cost to the poor. "But these voluntary efforts do not fill the gap," he said. Thompson cited a report from the Supreme Court’s Committee on Civil Justice in 2008 that showed only 9 percent of low-income Georgians with a legal need were able to get help from a lawyer. He also pointed out that two nonprofit law firms, the Georgia Legal Services Program and the Atlanta Legal Aid Society, provide civil legal services to the poor. But both firms have been hard hit financially since the start of the recession in 2007, Thompson said. Phyllis Holmen, the executive director of Georgia Legal Services, said her budget is back up slightly this year but had been cut $2 million since 2008. That meant that the agency had to freeze positions and lay off staff, including 23 of the 75 lawyers who work in 154 counties, Holmen said. Judges, Thompson said, have been reporting that more people are coming into court trying to represent themselves. That creates fairness issues, particularly in family law cases where the opposing party has an attorney, Holmen said. Monahan said the State Bar is looking to address a difficult problem. "The fix is not going to be easy," he said. "The market decides where people work." Thompson said other states are also experiencing a void of lawyers outside their major cities. In South Dakota, where 65 percent of attorneys practice in five cities, the chief justice has warned that the large populated areas of his state are becoming "islands of justice in a rural sea of justice denied," Thompson said. "Georgia’s lack of legal services in rural areas is every bit as severe as South Dakota’s, if not more so," he told lawmakers. "We must take steps to correct the imbalance." So where does this leave us? Thompson said, "Six of Georgia’s counties have no lawyers at all." Credible data from the State Bar of Georgia and other information, including anecdotal evidence from local judges, support his statement. We rate it True.	None	Hugh Thompson	None	None	None	2014-02-10T00:00:00	2014-02-05	['None']
snes-03101	Climate Ch-Ch-Ch-Changes	mixture	https://www.snopes.com/fact-check/white-house-web-site-trump-changes/	None	Politicians	None	Dan Evon	None	Did Donald Trump Remove the Terms ‘LGBT’ and ‘Climate Change’ from the White House Web Site?	20 January 2017	None	['None']
snes-06456	McDonald's beverages contain yucky non-food substances.	false	https://www.snopes.com/fact-check/a-fair-shake/	None	Automobiles	None	David Mikkelson	None	Do McDonald’s Shakes Contain Yucky Non-Food Substances?	31 January 2001	None	['None']
snes-06294	Jed Babbin said that "going to war without France is like going deer hunting without an accordion."	true	https://www.snopes.com/fact-check/jed-babbin-accordian-quote/	None	Uncategorized	None	David Mikkelson	None	Jed Babbin Accordian Quote	2 October 2003	None	['France']
snes-00964	The military has secretly drawn up plans to round up large numbers of privately-owned firearms from American gun owners.	false	https://www.snopes.com/fact-check/military-plans-gun-confiscations/	None	Junk News	None	David Mikkelson	None	Is the Military Drawing Up Plans for Nationwide Gun Confiscations?	26 February 2018	None	['United_States']
snes-02650	Donald Trump said that the United States should build a fence around New Mexico.	false	https://www.snopes.com/fact-check/donald-trump-new-mexico/	None	Junk News	None	Dan Evon	None	Trump: “Build a Fence Around New Mexico”?	17 August 2015	None	['United_States', 'New_Mexico', 'Donald_Trump']
faan-00057	 Canada’s corporate tax rate is “way below that of our close trading partners.”	factscan score: false	http://factscan.ca/tom-mulcair-canadas-corporate-tax-rate-trading-partners/	Canada’s combined federal and provincial corporate tax rate of 26.3 per cent is just below the middle of the pack among close trading partners. The corporate tax rate range for Canada’s top ten import and export trading partners is from a low of 16.5 per cent (Hong Kong) to a high of 39 per cent (United States).	None	Tom Mulcair	None	None	None	2015-09-24	mber 17, 2015	['Canada']
pomt-13110	"FBI confirms evidence of huge underground Clinton sex network."	pants on fire!	/truth-o-meter/statements/2016/nov/04/conservative-daily-post/evidence-ridiculously-thin-sensational-claim-huge-/	The presidential race has tightened again, this time after the FBI revealed that Hillary Clinton emails might be found on the laptop of Anthony Weiner, the estranged husband of Clinton aide Huma Abedin. Now some conservative websites are claiming — without offering any evidence — that the probe has uncovered evidence of a pedophile sex ring run under the guise of the Clinton Foundation. "Breaking: FBI confirms evidence of huge underground Clinton sex network," the Conservative Daily Post said on Nov. 1. "A source from the FBI has indicated ... that a massive child trafficking and pedophile sex ring operates in Washington, D.C.," the website reports, saying "there are at least six members of Congress and several leaders from federal agencies that partake in the pedophile ring, which they say was run directly with the Clinton Foundation as a front." No sources are named. No documents are cited. The claim about a child trafficking and a pedophile sex ring links to a New York Post story that makes no reference to either child trafficking or a sex ring. The claim about the Clinton Foundation and members of Congress links to an internet message board where anonymous people have posted under the topic, "Breaking: Its (sic) worse than classified emails. Political Pedophile Sex Ring exposed." "Hillary, Bill, all of them knew/know and were active participants," says the poster, who has the nickname "WartHog76." "DC and the FBI, DOJ fear a complete loss of public support for the federal government. ... Both parties, all levels of government. Its (sic) about to come apart." Subsequent posts by other people range from speculation that the story is part of a Clinton strategy ("Throw out some wild claims, have them proven false, and their real crimes will be dismissed as false") to a link to another website claiming that Bill Clinton and Donald Trump are connected to a place called Sex Slave Island. The latter pertain to the real-life story of financier Jeffrey Epstein, a billionaire sentenced to 18 months in jail and ordered to register as a pedophile in 2008 after pleading guilty to a Florida felony charge of soliciting a minor. He had been accused of hiring underage girls for massages and sex at Epstein’s Palm Beach mansion. Clinton has repeatedly flown on his plane. Trump's phone numbers were found in Epstein's address book. The Conservative Daily Post article doesn't mention Trump's connections to Epstein. We contacted the FBI. Spokesman Andrew Ames said in an email, "We have provided no comment, nor confirmed any investigation, beyond the existence of a letter from the Director to select members of Congress, which was then provided to the media by members of Congress." Another commentator on the message board says, "NYPD has verified it. It's not a false claim." An NYPD spokesman said he was unaware of anyone make such a statement. Our ruling The Conservative Daily Post says, "FBI confirms evidence of huge underground Clinton sex network." We could find no evidence that such a network exists; there is definitely no evidence that the FBI has confirmed it. The blog post seems to be relying on an anonymous claim put up on an internet message board. Here at PolitiFact, we believe it's up to the entity making a claim to support it with real evidence, especially when a claim is as extraordinary as this one. For now, the Post story fails to rise above rumor or hoax. Without anything real to go on, the website is blowing smoke. And in this case, where there's smoke, there's Pants on Fire! See Figure 1 on PolitiFact.com	None	Conservative Daily Post	None	None	None	2016-11-04T11:52:02	2016-11-01	['Bill_Clinton', 'Federal_Bureau_of_Investigation']
pomt-14758	"I have always opposed driver's licenses for illegal aliens."	mostly true	/texas/statements/2015/dec/11/david-simpson/david-simpson-mostly-right-about-his-staunch-oppos/	Republican candidates for an East Texas state Senate seat disagree over whether one of them has endorsed, and voted for, permitting driver’s licenses for Texas residents lacking legal permission to live in the country. State Rep. David Simpson of Longview emailed reporters a Nov. 30, 2015, statement saying Rep. Bryan Hughes of Mineola had slanderously charged Simpson with supporting licenses for illegal immigrants without delivering the factual goods. Simpson further declared: "I have always opposed driver’s licenses for illegal aliens." We wondered. Some perspective: The Texas Department of Public Safety began requiring license applicants to produce government-issued documents affirming their legal residency status in 2008, and lawmakers voted to require as much in a 2011 special session. Before 2008, according to a July 2011 Texas Tribune news story, no proof of legal residency was required to obtain a Texas license or state identification card. The spat between Hughes and Simpson developed, we suspect, because Republicans who show weakness on illegal immigration can run into trouble, especially in a party primary. The two are both angling to succeed Kevin Eltife, R-Tyler, representing the Senate’s District 1. We can’t gauge how someone has always felt about an issue. So we limited our scope to signs of Simpson publicly opposing licenses for such immigrants--finding that while there’s room for contrary speculation, a little of it caused by his own ambiguous statement, Simpson was among the vast bulk of House members who voted for the 2011 Legislature’s mandate to the DPS, arguably a sign he wasn’t intent on ensuring that all residents access licenses. News stories Let’s start with what Simpson has said in public settings. Hughes’ campaign pointed out a July 21, 2014, Tyler Morning Telegraph news story quoting Simpson after he returned from a weeklong tour of the Rio Grande Valley. "We do have a problem with drugs and warlords taking advantage of the situation," Simpson said. "We have to require a fulfillment of promises to appear before immigration courts to enter schools. We need to determine the status of these immigrants and not put them in this limbo. They can get an education but not get a driver’s license. That’s not right." What wasn’t right in Simpson’s view wasn’t entirely clarified. The story further quoted him saying: "We do need to secure the border against crime and terror, in order to defend life, liberty and property. I welcome people to come. We need workers. We do need to limit our health care to emergencies and critical care to immigrants as well as citizens. What’s going on in emergency rooms is not right. We need to stop the freebies, and open the legal pipeline while continuing to secure the border." To our inquiry about Simpson’s consistency, Luke Macias, a consultant to Simpson’s campaign, guided us to Simpson’s 2014 98-slide presentation based on the legislator’s border trip, which included photos of his travels and thoughts about border and immigration policy. Macias urged us to note the slide indicating Simpson thinks Texas should "overturn the mandate to educate aliens who have entered the country illegally or who are still residents of Mexico." A 1982 U.S. Supreme Court decision, in Plyler v. Doe, required Texas not to deny public education to "undocumented school-age children." Another Simpson slide, titled "Dysfunctional Policies," including this license line: "We provide K-12 education, but students cannot receive a driver’s license:" SOURCE: Presentation, "A Sobering and Beautiful Week on the Rio Grande," David Simpson, June 30-July 6, 2014 (web link received by email from Luke Macias, general consultant, David Simpson Texas Senate campaign, Dec. 1, 2015) What gives? By phone, Simpson told us he was trying to stress his continuing belief in not giving "handouts and privileges" to immigrants living here without permission; those include driver’s licenses, he said. By email, Simpson noted accurately that while his presentation called for some changes--such as ending the public schooling of children in the country illegally--it "did not advocate for giving driver’s licenses to illegals." Our searches via the Nexis news database and through news stories published by the Longview News-Journal yielded no examples of Simpson previously offering an opinion on driver’s licenses for immigrants. Simpson’s legislative record Next, we took up Simpson’s legislative record. In summer 2011, lawmakers moved to require the DPS to seek proof of legal residency from applicants for driver’s licenses by placing an amendment on a fiscal matters measure. At the time, the move was pitched as bringing Texas into compliance with the federal REAL ID Act, which says applicants for a driver's license must prove legal residency if they want to use the identification to get through airport security. See the agency's explanation here. And on June 9, 2011, nearly all House members (including Simpson) approved the amendment to Senate Bill 1. House video reveals no debate of the matter after Rep. Charles Geren, R-Fort Worth, told colleagues the amendment "addresses an issue of people getting Texas driver’s licenses that don’t live in Texas and it also allows the department to issue a license only for the length of time that a person is entitled to be here." According to the House Journal, eight members, Simpson not among them, asked to be recorded voting against the amendment. Records show too that Simpson voted against the overall fiscal matters proposal several times; the votes occurred on June 9, June 10 and June 28, 2011. By email, Simpsons told us he opposed the measure "due to its accounting gimmicks—namely, the deferment of Foundation School Program payments and the speed-up of tax payments—and its misplaced priorities, not because of the license provision, which I supported." He provided a copy of a May 2012 letter to constituents stating that he "voted for the amendment to add documentation requirements for driver's licenses" but against SB 1 because it extended inequitable school funding, sped tax collections and used "smoke and mirrors" to balance the state budget. So, Simpson backed the mandate that DPS check on each applicant’s legal residency. Two years later, though, Simpson cast a vote at least leaving room for speculation about his consistency on this front. That year, he voted against successful House efforts effectively killing proposals that related to more residents possibly getting driving permits. We know of no independent way of telling if those votes signaled a position on driver’s licenses. But on May 20, 2013, Simpson voted in favor of one of the failed amendments, the Texas House Journal shows. The amendment to Senate Bill 1729 by Rep. Byron Cook, R-Corsicana, said that under the legislation, which otherwise authorized a pilot project enabling a few counties to update or renew driver’s licenses, a license should include "any Texas resident driver’s permit authorized by law." And what did that mean? In debate, opponents said Cook’s language related to unauthorized residents getting a driver’s permit. Similarly, Simpson and Hughes’ campaign each nudged, conservative advocacy groups characterized the amendment as opening driver’s licenses to ineligible individuals. In a scorecard of the 2013 Legislature, for instance, the Young Conservatives of Texas said Cook’s amendment "would have allowed for illegal immigrants to receive driver’s licenses." We didn’t reach that conclusion--and by email, Simpson told us Cook’s amendment "in no way authorized illegal aliens to receive driver’s licenses." Asked why he voted for it, Simpson said: "I voted yes to the amendment because it would only include licenses or permits already" authorized by law. In debate, Cook didn’t dispute that his proposal might legalize more drivers; he also stressed that another change in law would be needed for the envisioned permits to become a reality. Cook’s proposal drew 72 votes, with 67 members voting no, but it died because Cook offered the proposal during final consideration of SB 1729; at that stage, 100 House votes were needed to amend legislation. A few days earlier, on May 17, 2013, Cook rolled out a longer amendment to SB 1729. He described the proposal--which was shortly derailed on a parliamentary point of order without members (including Simpson) voting on it--as identical to a committee-approved version of House Bill 3206 by Rep. Roberto Alonzo, D-Dallas. Alonzo’s amended plan called for state-issued driving permits for residents who lack proof of legal residency, also requiring recipients to obtain auto insurance. Under the proposal, every applicant would have to submit to fingerprinting and clear a criminal background check before qualifying for a permit. The same month, Hughes’ campaign noted, Simpson was on the losing end of an 87-60 House vote setting aside Alonzo’s amendment to a House measure that authorized the state to let public schools and driving schools give the driving test required to get a license. Before that May 21, 2013, action, Alonzo told House colleagues that under his amendment, schools could give driving tests to individuals who obtained resident driving permits, provided such permits were legalized. "Texas has a problem," Alonzo said, with people driving without auto insurance or a driver’s permit. By phone, Alonzo told us he favors giving undocumented individuals an opportunity to legally drive in Texas and his 2013 proposal’s described permits could have nudged the state toward fulfilling the goal though, he said, it didn’t provide for full-fledged licenses. Finally, we spotted no evidence of Simpson trying to legislate about driver’s licenses. In the 2011 session, Simpson authored or co-authored about 50 measures, none touching on giving or denying licenses. In the 2013 and 2015 sessions, Simpson authored or co-authored nearly 150 measures, none of them affecting driver’s licenses. Our ruling Simpson said he’s always been opposed to illegal immigrants having driver’s licenses In 2011, Simpson joined House members in voting for the change in law requiring license applicants to document their legal residency, which we take as a strong indication of his position. But there’s a hint of uncertainty in Simpson’s 2013 vote on a proposal offered in favor of unauthorized residents someday getting resident driver permits as sought by Alonzo and others, which importantly didn’t and don’t exist, and his ambiguous 2014 remark about driver’s licenses. We rate this claim Mostly True. MOSTLY TRUE – The statement is accurate but needs clarification or additional information. Click here for more on the six PolitiFact ratings and how we select facts to check.	None	David Simpson	None	None	None	2015-12-11T13:22:25	2015-11-30	['None']
tron-02429	Marines show more respect to Bush than to Clinton	fiction!	https://www.truthorfiction.com/marinerespect/	None	military	None	None	None	Marines show more respect to Bush than to Clinton	Mar 17, 2015	None	['George_W._Bush', 'Bill_Clinton']
