faan-00082	 There are “1.2 million more Canadians working now than ever before.”	factscan score: false	http://factscan.ca/stephen-harper-1-2-million-more-canadians-working/	All previous periods of employment were not 1.2 million jobs beneath today’s count. The difference in jobs from just before the latest recession to when this claim was made is almost 800,000 jobs.	None	Stephen Harper	None	None	None	2015-06-13	 May 15, 2015	['Canada']
faan-00051	 “The only person on that stage who’s never held a private sector job is Stephen Harper.”	factscan score: false	http://factscan.ca/elizabeth-may-private-sector-job/	It’s false that Harper never worked a private sector job. After dropping out of the University of Toronto, he took a job with Imperial Oil in the company’s Edmonton office in 1978, leaving in 1981 for a second go at university.	None	Elizabeth May	None	None	None	2015-10-14	mber 17, 2015	['Stephen_Harper']
faan-00037	 “Our allies have … been clear that Canada should leave our CF-18s in the fight” against Islamic State	factscan score: misleading	http://factscan.ca/rona-ambrose-our-allies-have-been-clear/	The Kurdish government has been critical of Canada’s decision to withdraw its fighter jets. But other major allies in the fight have been agreeable (if vague) about the change, and at least one ally, the United States, has approved.	None	Rona Ambrose	None	None	None	2016-02-25	uary 27, 2016	['Canada']
faan-00008	 “While the unemployment rate might be decreasing, the kinds of new jobs created in Canada are part-time.”	factscan score: misleading	http://factscan.ca/ndp-part-time-jobs/	The latest job figures show that full-time work is growing more than part-time work in recent months in 2018 and in 2017, compared to the month or year before. There is longer-term and older data that show part-time work has driven total employment growth, but it’s misleading to make a claim about “new jobs” and ignore the latest data.	None	NDP	None	None	None	2018-04-27	None	['Canada']
faan-00112	 “Income splitting … will cost the federal government a whopping two billion dollars a year.”	factscan score: true	http://factscan.ca/justin-trudeau-income-splitting-will-cost-the-federal-government-a-whopping-two-billion-dollars-a-year/	True. Initial estimates peg the cost of income splitting between $2.5 and $2.9 billion, however more recent research estimates a cost of roughly $2 billion per year.	None	Justin Trudeau	None	None	None	2015-02-16	mber 10, 2014	['None']
faan-00049	 “Stephen Harper is the only prime minister in Canadian history who, when asked about the recession during his mandate, gets to say, ‘Which one?’”	factscan score: false	http://factscan.ca/tom-mulcair-which-recession/	Harper is not the first prime minister to govern over a period with two recessions. Several others did too. Since 1926, there were more prime ministers who held power for over five years who saw at least two recessions than those who did not. 	None	Tom Mulcair	None	None	None	2015-10-18	ugust 6, 2015	['Canada', 'Stephen_Harper']
faan-00064	 “We’re proud to be the only party making life easier for 100% of families with children.”	factscan score: false	http://factscan.ca/dustin-van-vugt-only-party-100-per-cent-of-families-with-children/	While the Conservative Party’s newly expanded Universal Child Care Benefit does appear to benefit 100 per cent of families with children, the NDP would keep the program if elected. The Conservatives’ claim to be the “only party” to benefit everyone is false. 	None	Dustin van Vugt	None	None	None	2015-08-24	 July 1, 2015	['None']
faan-00065	 “Mr. Harper promised solemnly to Canadians that he would never name an appointed senator. He has gone on to appoint … them.”	factscan score: true	http://factscan.ca/tom-mulcair-appointed-senator/	Stephen Harper promised to only appoint people to the Senate who were first elected. He broke the promise by repeatedly appointing unelected senators. 	None	Tom Mulcair	None	None	None	2015-08-22	ugust 6, 2015	['Canada', 'Stephen_Harper']
faan-00103	 “We are in a world that is becoming increasingly unsafe.”	factscan score: false	http://factscan.ca/stephen-harper-we-are-in-a-world-that-is-becoming-increasingly-unsafe/	Stephen Harper said the world is getting increasingly unsafe. Not statistically when it comes to violent deaths. The world is safer today compared to previous decades.	None	Stephen Harper	None	None	None	2015-03-05	None	['None']
faan-00003	 “Canada’s unemployment rate is at its lowest level since the 1970s.”	factscan score: true	http://factscan.ca/justin-trudeau-unemployment-rate-lowest-level/	This is true, but it’s not the first time. Canada’s lowest unemployment rate since the 1970s is 5.8 per cent. Recently, monthly unemployment rates – in December 2017 as well as February-July 2018 – have dipped to 5.8 per cent. Ten years ago and for a shorter period, in October 2007, the rate fell to the same low.	None	Justin Trudeau	None	None	None	2018-09-21	gust 14, 2018	['Canada']
