snes-00238	A photograph shows a woman buried up to her neck jsut before being stoned to death in Iran.	miscaptioned	https://www.snopes.com/fact-check/buried-woman-stoned-photo/	None	Fauxtography	None	David Mikkelson	None	Does This Photograph Show a Woman About to Be Stoned to Death in Iran?	9 August 2018	None	['Iran']
vees-00063	Asked about the weakening peso to the United States dollar in a Sept. 7 press briefing in Amman, Jordan, Roque said:	none	http://verafiles.org/articles/vera-files-fact-check-govt-data-debunk-roque-claim-weak-peso	Roque is wrong; for three decades, December is when the peso is often weakest versus the U.S. dollar, Bangko Sentral ng Pilipinas data show.	None	None	None	Harry Roque,exchange rate	VERA FILES FACT CHECK: Gov’t data debunk Roque claim on weak peso	September 13, 2018	None	['United_States', 'Amman', 'Jordan']
para-00044	Says the Coalition’s paid parental scheme doesn’t pay more to low-paid women than the government’s.	false	http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/aug/29/bill-shorten/which-paid-parental-scheme-better-lower-paid-women/index.html	None	['Parental Leave']	Bill Shorten	Chris Pash, Alix Piatek, Peter Fray	None	Which paid parental scheme is better for lower paid women?	Thursday, August 29, 2013 at 6:04 p.m.	None	['None']
snes-02775	The simultaneous death of infant twins in Turkey in 2002 was connected to their having recently received vaccinations.	unproven	https://www.snopes.com/fact-check/infant-twins-die-simultaneously-vaccines/	None	Science	None	Alex Kasprak	None	Infant Twins Die Simultaneously After Vaccines?	15 March 2017	None	['None']
tron-00593	Four Underage Girls Accuse Michael Moore of Sexual Harassment	fiction!	https://www.truthorfiction.com/girls-accuse-michael-moore-of-sexual-harassment-fiction/	None	celebrities	None	None	['celebrities', 'criminal justice', 'liberal agenda']	Four Underage Girls Accuse Michael Moore of Sexual Harassment	Oct 24, 2017	None	['None']
pomt-02356	"Florida ranks first in the nation for access to free prekindergarten."	mostly true	/florida/statements/2014/mar/20/rick-scott/rick-scott-says-floridas-vpk-no-1-country-access/	In a photo any candidate for re-election would crave, Gov. Rick Scott is seated alongside a couple of cute pre-kindergarten kids at a science museum as a girl chews on her fingers and a boy reaches in a container for a crayon. Scott was at the the Science and Discovery Center of Northwest Florida in Panama City on March 12, 2014, to tout funding for the state’s voluntary pre-kindergarten program, known as VPK. A few days later, he boasted about VPK in a tweet: "Florida ranks first in the nation for access to free prekindergarten. We need to keep it that way." Scott, a Republican, is expected to face former Gov. Charlie Crist, now a Democrat, in November. Education has become a hot topic in the race and PolitiFact Florida has previously fact-checked claims about K-12 and higher education. Here we decided to explore Scott’s claim about the state’s ranking on access to VPK. Report comparing states on preschool Florida’s VPK program launched in 2005 as a result of voters approving an amendment to provide free access to all of the state’s 4-year-olds to prepare them for kindergarten. Students learn how to identify shapes and colors, write their own name, recognize letters and recognize patterns, among other skills. The program is offered at public schools and private day care centers. Children can enroll in a school-year program that totals 540 hours. That typically translates to three hours a day during the school year -- though many parents pay for additional "wrap-around" hours. Parents can also elect a summer program of 300 hours instead of the school year. The National Institute for Early Education Research, a unit of the Graduate School of Education at Rutgers, publishes an annual State Preschool Yearbook that has tracked the funding, access, and policies of state-funded pre-school programs since the 2001-02 school year. We looked at the rankings for Florida, which was compared against programs in 40 states during the 2011-12 school year. (The next report is expected in April.) The report ranked the states on the following criteria: Access. Florida ranked No. 1 for serving 4-year-olds with 79 percent of the eligible population served in 2012. Participation has grown rapidly from about 100,000 students in 2005 to 175,000 in 2011-12. The program remains optional, so it may not continue to grow much higher in terms of the percentage served. State spending. Florida ranked No. 35 for state spending. The amount of state funding per student dropped from $2,755 in 2008 to $2,281 in 2012, according to the report. The state’s Office of Early Learning had a slightly different figure because it provides a per-pupil amount for the school year and a lower one for the summer. In 2010-11 -- the budget set before Scott was elected -- the per-pupil school year amount was $2,562. Then under Scott it dropped to $2,383 where it has stayed for three years. Scott has proposed a $100 increase. Quality benchmarks. Florida meets only three of the 10 benchmarks -- those related to early learning standards, class size and site monitoring. It did not meet benchmarks that related to teacher degrees, specialized training and other areas. Florida and Ohio both met three benchmarks. Only one state met fewer (Texas with two). Experts weigh in on Florida’s VPK program So what’s the big picture about Florida’s VPK program? Does it make sense for Scott to boast about access when the state lags behind in per-pupil spending and quality benchmarks? Many states face the tradeoff between broad access and commitment to quality, said Daphna Bassok, an expert in early childhood education and assistant professor at the University of Virginia. "Overall, Florida’s program is characterized by very high access but relatively low quality, as far as quality standards, length of school day, dollars per child," and other issues, she told PolitiFact Florida. Another expert said that the benchmarks set by the National Institute for Early Education Research, or NIEER, are subjective measures of quality. Grover (Russ) Whitehurst, a former U.S. Education Department official under President George W. Bush and a fellow at the Brookings Institution, noted that one benchmark requires programs to provide one meal a day. But that doesn’t make sense for a program such as Florida’s that offers three hours a day. "Access and state spending are based on hard data, whereas the NIEER benchmarks are nothing more than the opinion of NIEER, an advocacy organization," Whitehurst told PolitiFact Florida. "I place little stock in the NIEER benchmarks." Scott’s spokeswoman referred us to the state’s Office of Early Learning for a response. "When it comes to the benchmarks that NIEER uses to rank states for quality and spending, we believe that the most important benchmark is not included," spokeswoman Cynthia Sucher told PolitiFact Florida. "How well does VPK prepare Florida 4-year-olds for kindergarten?" Assessments done by public school districts once students enter kindergarten show that almost 82 percent of children who completed a VPK program were ready for kindergarten, compared to about 53 percent of those who did not participate in VPK in 2013. That was the fifth consecutive year of an increase in the preparedness rate for those that completed VPK. But that data isn’t compelling, some say, because there are likely differences in the backgrounds and abilities between the two groups. Non-attendees may be poorer or have parents who don’t speak English, Whitehurst said. That makes it difficult to draw conclusions that it's the program that's causing better outcomes. "The present evidence that Florida's VPK is having a positive impact on school readiness and later academic achievement is weak to nonexistent," he said. "This doesn't mean it isn't having a positive impact. Rather, it means that the impact is presently unknown." Our ruling Scott said, "Florida ranks first in the nation for access to free prekindergarten." A national education group ranked Florida No. 1 in access for 4-year-olds during the 2011-12 school year, the most recent year available. However, the same report ranked Florida 35th in state spending per pupil. The report also concluded that the state only met three of 10 benchmarks, though it’s possible for education experts to quibble about the value of those benchmarks. Scott was careful with his wording because he only mentioned "access," but the rest of the report’s findings may provide a different picture of Florida’s VPK program. His statement is accurate but needs additional information, so we rate his statement Mostly True.	None	Rick Scott	None	None	None	2014-03-20T15:55:50	2014-03-16	['None']
pomt-07978	"We had a debate on whether ‘ObamaCare’ was the way to go to fix up health care and the American voters said no -- emphatically."	mostly false	/wisconsin/statements/2011/jan/20/jim-sensenbrenner/rep-jim-sensenbrenner-says-americans-have-emphatic/	As Republicans in the U.S. House of Representatives planned their January 2011 vote to repeal the health care reform bill, members turned to the results of the November election for support. In Washington, Republicans swept to power in the House and narrowed Democratic majorities in the Senate. In Wisconsin, the GOP won a U.S. Senate seat, the governor’s office and both chambers of the Legislature. Repealing health reform -- "ObamaCare," as they label it -- was a part of Republican campaigns at all levels. In the run-up to the House repeal vote, U.S. Rep. Jim Sensenbrenner, R-Wisconsin, appeared Jan. 16, 2010 at a town hall meeting. In comments to reporters, including WTMJ-AM (620), he discussed the rationale for pursuing repeal of the law. (On Jan. 19, the Republican-led House voted 245-189 largely along party lines to repeal the health care reform bill, but the effort is likely to die in the Senate.) "The House of Representatives -- and this representative -- has listened to the American people," Sensenbrenner said. "We had a debate on whether ‘ObamaCare' was the way to go to fix up health care and the American voters said no -- emphatically." Of course, public opinion can be a moving target. And election mandates can grow over time, especially in the eyes of the winners. So we decided to take a look at Sensenbrenner’s statement, including at what current polls are showing. Asked for support for Sensenbrenner’s position, aides noted he held 101 town hall meetings in his district last year. "At these meetings, the overwhelming majority of attendees (public from the 5th District) were opposed to the healthcare bill and/or supported the law’s repeal," said communications director Wendy Riemann. She added that 70 percent to 75 percent of those who called or wrote Sensenbrenner’s office since last February "have been opposed to the law and would like to see it repealed." Sensenbrenner’s staff also pointed to a Jan. 17, 2011 Rasmussen Reports poll, the day after he spoke. That poll said 55 percent of likely voters favor repeal of the health care law, while 40 percent oppose repeal. Here’s the question Rasmussen asked: "A proposal has been made to repeal the health care bill and stop it from going into effect. Do you strongly favor, somewhat favor, somewhat oppose or strongly oppose a proposal to repeal the health care bill?" On the face of it, 55 percent does not seem "emphatic." Indeed, according to the firm, the percentage strongly favoring repeal has fallen. The firm’s summary said: "Just 40 percent strongly favor repeal, matching the lowest level found since the health care bill became law. Thirty percent strongly oppose repeal." We found some other fresh polls, which provide a murkier picture than the one painted by Sensenbrenner. The Associated Press conducted its own poll and reported Jan. 17 that "strong opposition to the law stands at 30 percent." The figure was close to the lowest level found in AP surveys dating back to September 2009. "The nation is divided over the law, but the strength and intensity of the opposition appear diminished," the AP reported. "The poll finds that 40 percent of those surveyed said they support the law, while 41 percent oppose it. Just after the November congressional elections, opposition stood at 47 percent and support was 38 percent." The poll’s margin of error was plus or minus 4.2 percentage points. As for repeal, only about one in four said they want to do away with the law completely. Meanwhile, the Kaiser Family Foundation conducts a health tracking poll and in January 2011 issued an update about public opinion about reform. "The last Kaiser Health Tracking Poll of the year found that 42 percent of Americans held a favorable view of health reform, 41 percent an unfavorable view and 18 percent offered no opinion. This pattern has been roughly stable over the eight months since passage, suggesting that neither side has been able to make a definitive case for or against the bill." Kaiser’s report added that 26 percent of those surveyed want to repeal the law in its entirety; 25 percent want to repeal parts of the law and keep other parts; one in five want to leave the law as it is; and one in five want to expand the law. Finally, a Jan. 7, 2011 Gallup poll concluded that Americans "do not strongly endorse" House Republicans’ efforts to repeal the bill. Gallup found that 46 percent of Americans want their representative in Congress to vote to repeal the health care law, 40 percent want their representative to vote to let the law stand, and 14 percent have no opinion. That’s the view today. What about at the time of the election? PolitiFact Wisconsin addressed this topic last fall, during the race for U. S. Senate. We looked into a television ad by Ron Johnson that claimed, "A majority of Wisconsinites opposed the government takeover of health care" and rated the claim False. In that case, the polling was more mixed than Johnson presented and, in some cases, respondents opposed the law not because it went too far, but because it did not go far enough. Where does all of this leave us today? Sensenbrenner said American voters had "emphatically" rejected the federal health reform changes. District residents may have felt that way, though calls to a congressman’s office are hardly scientific -- and Sensenbrenner’s statement cited national opinion on the issue. Also, numerous polls after the November election indicated that voters had one issue foremost in their mind: the economy. Of four fresh looks at how Americans feel about repealing health care reform, his staff chose one -- Rasmussen’s poll of likely voters -- that supported his position. But that sentiment is not shared by the public at large, according to multiple other polls. And in the Rasmussen poll, the percentage strongly supporting repeal has fallen. We rate Sensenbrenner’s statement Barely True. Editor's note: This statement was rated Barely True when it was published. On July 27, 2011, we changed the name for the rating to Mostly False.	None	Jim Sensenbrenner	None	None	None	2011-01-20T09:00:00	2011-01-16	['United_States']
pomt-08373	Says Tom Perriello voted "to give tax breaks to foreign companies creating jobs in China."	false	/virginia/statements/2010/oct/25/robert-hurt/robert-hurt-says-tom-perriello-voted-give-tax-brea/	State Sen. Robert Hurt says folks in Virginia’s 5th Congressional District do things "differently" than politicians in Washington. But Hurt is following the same playbook as other Republican candidates by attacking his Democratic opponent’s support of the stimulus by raising the specter of Communist China -- complete with a red Chinese flag on a make-believe TV set. "Differently" is a Hurt political ad that plays the China card against U.S. Rep. Tom Perriello, a Democrat from Charlottesville, for his vote in favor of the American Reinvestment and Recovery Act, better known as the stimulus package signed by President Obama in February 2009. The ad defends Hurt against accusations by Perriello that he wants to ship jobs overseas. "That’s just false," the announcer states. "But Perriello did vote to give tax breaks to foreign companies creating jobs in China." The ad says the accusation is based on a story published Sept. 9 in the Washington Times that says "as much as 80 percent of some green programs, including $2.3 billion of manufacturing tax credits, went to foreign firms that employed workers primarily in countries including China, South Korea and Spain, rather than in the United States." It’s an assertion that originates from a series of stories by the Investigative Reporting Workshop at American University in Washington. The workshop report, "Blown Away," documents how foreign-based companies are using stimulus grants to develop wind farms in the United States. The workshop’s initial estimate in October 2009, was that foreign companies collected 80 percent of $1 billion in grants. An update in February pegged the estimate at 79 percent of $2.1 billion in grants. But those are allforeign companies, not just those from China. The Chinese connection comes from a $1.5 billion wind farm proposed last year in Texas by a consortium of American and Chinese companies that planned to buy turbines manufactured in China for the wind farm. Subsequently, the consortium partners have proposed to build a factory in Nevada to produce the turbines and most of their components. Here’s the problem for Hurt and other politicians relying on the Washington Times story: the $2.3 billion in manufacturing credits come from a part of the stimulus act that explicitly links the credits to creation of manufacturing jobs in green industries in the United States, according to the workshop report. By contrast, the workshop investigation focused on a provision that allowed payments in lieu of tax credits for development of alternative energy sources, including wind farms, without requiring the projects to produce manufacturing jobs in the United States. "They’re sort of freely mixing the two programs," Russ Choma, the journalist who produced the workshop report, told PolitiFact. So while the Times story may be correct in asserting that investments in alternative energy technologies haven’t created as many U.S. jobs as some supporters wanted, the story does not provide sufficient evidence to back up Hurt’s claim. Yet in campaign ads in many states, Republicans have portrayed a vote for the stimulus to be a vote to send jobs to China, glossing over the details of the actual program. They have exaggerated the total money that’s gone to this particular program and ignored the small portion that actually ended up in China. The same day Hurt’s ad first aired, Choma published an update on the workshop Web site that referred to a similar dustup in a West Virginia congressional race. In it, Choma said the IRW hadn’t found any examples of wind turbines built entirely in China. Choma cited the conclusion of a PolitiFact National analysis in February that debunked a similar assertion by former Alaska Gov. Sarah Palin. Subsequently, PolitiFact reports in Georgia and Wisconsin found little or no truth in similar accusations by Republican congressional candidates. He also revised his estimates that had originally said 80 percent of the money went to foreign companies. The revised estimate said 54 percent of a total of $4.4 billion in grants for wind farms had gone to foreign-owned companies, and that 65 percent of the turbines installed on those farms were constructed by foreign manufacturers instead of the original estimate of 79 percent. It is true that many companies taking advantage of the grants for alternative energy sources are based outside of the U.S., but most of them are in Europe and none was owned by a Chinese company. The American Wind Energy Association, representing the developers involved, said only three of the 33,000 wind turbines operating in the U.S. today were made in China and those included parts made in Minnesota and North Dakota. The association claims the tax credit provision in the stimulus act "saved" 40,000 jobs in the American wind industry by stimulating demand. It does not have an estimate of the jobs that would be created by the manufacturing tax credit cited by the Washington Times. Choma, the author whose article sparked the allegation, remains perplexed by the avalanche of ads that have relied on his work. "I don’t see how you can attach China to the manufacturing tax credit," Choma told us. We don’t see the connection either, so we find Hurt’s claim to be False.	None	Robert Hurt	None	None	None	2010-10-25T15:54:48	2010-09-27	['China']
pomt-14381	"Arizona schools rank 45th in the nation, dead last in funding per student."	mostly true	/arizona/statements/2016/mar/17/hillary-clinton/clinton-ad-claims-arizona-lags-k-12-education/	With Arizona’s Presidential Preference Election set for Tuesday, presidential candidates -- and their accompanying advertisements -- have picked up steam. Hillary Clinton’s campaign aired a 30-second spot on Arizona airwaves on March 16 specific to K-12 education. "Arizona schools rank 45th in the nation, dead last in funding per student," the ad states. "Hillary knows our kids deserve better, education means a good job, a decent living." The ad proposes preschool for every student as well as college without "crushing debt." The ad cites a January 2016 Education Week ranking for the 45th in the nation claim. Education Week uses several measures, including finance, achievement and chance for success. Arizona Department of Education spokesman Charles Tack said the numbers were accurate based on the sources cited. For the dead last in funding per student part of the claim, the ad cites the Arizona School Boards Association, a statewide nonprofit. Clinton campaign spokesman Tim Hogan noted that both claims were from the Education Week report. Education Week uses data from several federal agencies, including the U.S. Education Department, U.S. Census Bureau and U.S. Commerce Department. According to the data, Arizona spends $7,733 per student, almost 35 percent less than the national average of $11,841 per student. The numbers are adjusted for regional cost differences. In fiscal year 2013, Arizona ranked 49th, out of all 50 states and the District of Columbia, in per student spending, according to the U.S. Census Bureau. "That’s the sad reality, the lack of investment in human capital," said Arizona School Boards Association Executive Director Timothy Ogle. However, Arizona isn’t dead last in per-student spending -- Utah is. According to Education Week’s regionally adjusted numbers, Utah ranks 51st, spending $7,084 per student. The data includes all 50 states and Washington, D.C. However, the actual text of the advertisement does mention that Arizona is 50th in per student funding though, which is correct. They’re just not dead last. Our ruling Clinton’s campaign said, "Arizona schools rank 45th in the nation, dead last in funding per student." Education Week data vets the first claim, but the advertisement is off by one in its claim that the Grand Canyon State is dead last. Utah is. Both states still spend thousands of dollars less than the national average in funding per student. We rate the ad as Mostly True.	None	Hillary Clinton	None	None	None	2016-03-17T16:27:56	2016-03-15	['Arizona']
goop-01480	“Survivor: Ghost Island” Premiere Recap: Who Was Voted Off First And Second?	10	https://www.gossipcop.com/survivor-premiere-recap-ghost-island-february-28-2018-eliminated-jacob-gonzalez-voted-off-first/	None	None	None	Shari Weiss	None	“Survivor: Ghost Island” Premiere Recap: Who Was Voted Off First And Second?	9:56 pm, February 28, 2018	None	['None']
snes-03949	A resident of East Texas shared his opinion of the Black Lives Matter movement.	correct attribution	https://www.snopes.com/fact-check/texas-man-speaks-about-black-lives-matter/	None	Viral Phenomena	None	Dan Evon	None	Texas Man Speaks About Black Lives Matter	26 September 2016	None	['East_Texas']
