goop-02071	Kendall Jenner, Blake Griffin “Clash” Over Wedding Plans?	0	https://www.gossipcop.com/kendall-jenner-wedding-blake-griffin-marriage/	None	None	None	Shari Weiss	None	Kendall Jenner, Blake Griffin “Clash” Over Wedding Plans?	10:55 am, December 7, 2017	None	['Kendall_Jenner', 'Blake_Griffin']
pomt-06268	"Since Obama took office, a net of 540,000 additional black Americans – Obama’s strongest supporters – have lost their jobs."	half-true	/new-jersey/statements/2011/nov/27/new-jersey-tea-party/new-jersey-tea-party-blames-barack-obama-unemploym/	Black and recently unemployed? Blame President Barack Obama, says the New Jersey Tea Party. "Since Obama took office, a net of 540,000 additional black Americans – Obama’s strongest supporters – have lost their jobs," the Tea Party retweeted to its followers on Sept. 2. The original tweet came from Ken Gardner, a junior fellow for The Right Sphere, a conservative website, and was retweeted by Jeff M. Weingarten, president of Morristown Tea Party Organization. Pinning a race’s employment status solely on the president of the United States seemed rather strong so PolitiFact New Jersey checked the statement. Turns out the unemployment statistic in the tweet is accurate, but blaming the president is less clear. First, let’s break down the different elements of the statement. The number of employed blacks dropped by 540,000 people from January 2009 through August 2011, according to the U.S. Bureau of Labor Statistics in Washington, DC. The number of employed whites for the same time frame dropped by 2.15 million. But that doesn’t matter, Weingarten said in a phone interview, because the percentage of unemployed blacks is disproportionately higher than that of whites, which has a larger population. The National Association for the Advancement of Colored People acknowledges the high rate of unemployment for blacks, but doesn’t blame Obama, said Hilary Shelton, director of the NAACP’s Washington bureau and senior vice president for advocacy and policy. Both Shelton and the U.S. Department of Labor noted that initiatives such as education and more training and employment services could help blacks get more jobs. But Weingarten said other issues need to be addressed. He said Obama "is squarely to blame" for the employment decrease among blacks because of programs such as "Obamacare" and unwillingness by corporations to spend money in a still-shaky economy. "When you are the commander in chief and leader of the country, you are the one that promulgates and sees to it that policies are enacted or not," Weingarten said. Issues critical to the black community, including jobs, has always been on Obama’s radar, according to a recent Associated Press article. Appearing at a daylong White House summit of black business, community and political leaders on Nov. 9, Obama said the current 15.1 percent unemployment rate among blacks is "way too high," and that other problems that plagued black communities before he took office, such as housing and education, have worsened. The White House also disputed arguments that Obama has not targeted problems faced by blacks, according to the article. "Since day one, the president has fought for the policies that matter to the African-American community," White House adviser Valerie Jarrett said. Shelton said Obama has attempted to address unemployment for all races but a number of bills have stalled or failed in Congress, or couldn’t get committee hearings. Given that, blaming the president seems disingenuous, Shelton said. "It’s almost like someone deciding to knock you down and then blame you for falling," he said. But blame can be placed on Obama, said Mychal Massie, chairman of the National Leadership Network of Black Conservatives. "Does Obama represent the government of the United States? If he represents the government of the United States then the answer is yes, unequivocally so, disgracefully and shamefully so, but not because he’s black," Massie said. "He is a poor example of leadership, and his profound ignorance of what it takes to rally an economy and his even more vacuous understanding of free-market enterprise and how it contributes to the creation of jobs." Our ruling The Tea Party blames Obama for an additional half million blacks being unemployed since he took office. The group’s number of 540,000 unemployed is correct, and the NAACP concurs that blacks are among Obama’s biggest supporters. We heard varying opinions on whether the president is to blame for that job loss and it’s clear there are a variety of factors at work -- some under the president’s jurisdiction, some not. Partially accurate claims that leave out important details fits the definition of our ruling: Half True. To comment on this story, go to NJ.com.	None	New Jersey Tea Party	None	None	None	2011-11-27T07:30:00	2011-09-02	['Barack_Obama', 'United_States']
abbc-00344	Around 80 per cent of pension-age Australians receive either a full or part pension, and the National Commission of Audit projects this figure will not change over the next 40 years.	in-between	http://www.abc.net.au/news/2014-07-27/pensions-dont-change-promise-check/5388348	None	['aged-care', 'abbott-tony', 'welfare', 'liberals', 'federal-government', 'australia']	None	None	['aged-care', 'abbott-tony', 'welfare', 'liberals', 'federal-government', 'australia']	Promise check: No change to pensions	Mon 6 Jun 2016, 5:22am	None	['None']
pomt-11187	"BREAKING: 60 people just found dead in Ohio"	false	/punditfact/statements/2018/may/17/true-american/ohio-opioid-crisis-real-headline-misleading/	An alarming headline stated there was a sudden massive death wave in Ohio, but the facts show there was no one-day wipeout. "BREAKING: 60 people just found dead in Ohio," said the May 13 headline on True American, a website with a lot of clickbait headlines. The story is a ripoff of the same misleading stories that appeared in June 2017 on multiple websites. Facebook flagged this story as part of its efforts to combat false news and misinformation on Facebook's News Feed. (Read more about our partnership with Facebook.) The headline could lead viewers to believe there was a sudden one-day death toll in Ohio, but the story actually refers to ongoing deaths from opioids in Cuyahoga County, where Cleveland is located. "The death toll in one Ohio town continues to rise as 60 people were just found dead overnight and emergency crews can’t keep up with the calls that continue to pour in," the story stated. See Figure 1 on PolitiFact.com But later in the story, it said that the Cuyahoga County Medical Examiner confirmed that 60 people died in February "from the same alarming cause." The story quoted a news report by FOX - 8 WJW (Cleveland, Ohio) about the overdose deaths. While the True American story has a May 2018 dateline, the TV report was from March 2017 and refers to February 2017 data released by the medical examiner. The TV station reported that "at least 60 died from heroin, fentanyl or a combination of the two, bringing this year's total to 109." The report said that the number could rise as toxicology results were received in additional cases, but the 60 deaths outpaced the previous one-month record of 57 drug fatalities in September 2016. The data came from information released by the medical examiner to the media. Christopher Harris, a spokesman for the medical examiner, told PolitiFact that the final number for February 2017 for opioid-related deaths was 65. For all of 2017, there were 727 total drug deaths; 553 opioid related. In 2018 so far, there have been at least 137 suspected opioid related deaths: Ohio is one of the hardest hit states in the nation by the opioid epidemic. Richard Rosenfeld, a criminology professor at the University of Missouri-St. Louis, has pointed to the opioid crisis as a factor in the increase in homicides in Ohio. Our ruling A headline said, "BREAKING: 60 people just found dead in Ohio." The scare-tactic headline creates a false impression that something catastrophic happened to cause 60 people to suddenly drop dead. In reality, the Cuyahoga Medical Examiner initially found that 60 died from overdoses in February 2017, and later reported the final number was 65. So the number is also incomplete and outdated. We rate this claim False. See Figure 2 on PolitiFact.com	None	True American	None	None	None	2018-05-17T11:48:42	2018-05-13	['Ohio']
snes-04514	Richard Harrison, known as the "the Old Man" on "Pawn Stars," passed away in June 2018.	true	https://www.snopes.com/fact-check/richard-harrison-pawn-stars-death/	None	Entertainment	None	Associated Press	None	‘Pawn Stars’ Personality Richard Harrison Dies at 77	25 June 2018	None	['None']
vees-00189	THIS WEEK IN FAKE NEWS: Sotto said Sara Duterte should be the only one to replace her father	none	http://verafiles.org/articles/week-fake-news-sotto-did-not-say-sara-duterte-should-be-only	None	None	None	None	fake news	THIS WEEK IN FAKE NEWS: Sotto DID NOT say Sara Duterte should be the only one to replace her father	June 01, 2018	None	['None']
goop-02461	“The Voice” Team “Surprised” Adam Levine, Behati Prinsloo Pregnant Again Before Blake Shelton, Gwen Stefan	0	https://www.gossipcop.com/the-voice-not-surprised-adam-levine-behati-prinsloo-pregnant-again-before-blake-shelton-gwen-stefani-baby/	None	None	None	Shari Weiss	None	“The Voice” Team NOT “Surprised” Adam Levine, Behati Prinsloo Pregnant Again Before Blake Shelton, Gwen Stefani	9:18 pm, September 14, 2017	None	['Blake_Shelton', 'Adam_Levine']
pomt-13869	"The average time someone used to hold a share of stock back in the ’60s was eight years. Now, the average time is four months."	mostly true	/virginia/statements/2016/jul/06/mark-warner/mark-warner-says-average-holding-time-stocks-has-f/	U.S. Sen. Mark Warner joined the ranks of Wall Street critics during a recent radio interview, by complaining that investors increasingly are focused on reaping quick profits from companies at the expense of long-term value. "The average time someone used to hold a share of stock back in the ’60s was eight years. Now, the average time is four months," he said during an interview on "Cat’s Roundtable," a New York City radio talk show hosted by John Catsimatidis, a billionaire businessman. We wondered whether Warner, D-Va., is right about the plunge in share-holding time. Warner’s office sent us a variety of articles by academics, investment strategists, newspapers and magazines that contained similar statistics to the ones cited by the senator. The source of the historic data is the New York Stock Exchange which, for most of the 20th century, was the dominant U.S. stock-trading venue. Here’s the NYSE’s average holding period for stocks at the start of each new decade, beginning at Warner’s mark in 1960: •1960, eight years, four months; •1970, five years, three months; •1980, two years, nine months; •1990, two years, two months; and •2000, one year, two months. But many new trading venues have opened and expanded in recent decades - E*Trade and NASDAQ, for example - and the New York Stock Exchange’s dominance has diminished. About 25 percent of all U.S. trading now occurs on the NYSE, which has high financial requirements for the companies it lists and generally deals with large, stable stocks. In 2004, the NYSE changed its formula for calculating average share-holding periods to focus on its own listings. Credit Suisse that year began computing share-holding data that reflect the broader U.S. stock market. Credit Suisse figures show that in 2008 and 2009, when the nation was mired in the Great Recession, shares turned over an average almost five times a year. That’s slowed to about three times a year since 2013 or, as Warner put it, once every four months. The World Bank offers more conservative figures, saying U.S. shares, on average, turned over four times a year during the Great Recession and that slowed to 1.65 times a year in 2015 - or about once every eight months. Stock market analysts and academics note a variety of reasons for the quickening turnover of shares. Many say the days of small ma-and-pa investors have given way to an era of mutual funds and hedge funds that exert strong pressure of companies to produce short-term profits. The growth of e-trading also is cited; so are federal laws passed in 1993 that tied the bonuses of executives to their achievement of measurable performance goals in order for the bonuses to be tax-deductible for their companies. Warner said the consequence of "activist investors" is that corporations pay less attention to training workers and to research and development. He said Congress should explore offering tax incentives to companies that embrace those long-range goals. Many activist investors, to the contrary, say their actions have been beneficial and note that the stock market has continued to rise over the decades. Our ruling Warner said, "The average time someone used to hold a share of stock back in the ’60s was eight years. Now, the average time is four months." The gist of Warner’s statement is undeniable: The average holding period for stocks has eroded greatly during the past 56 years. The specifics of Warner’s statement, however, need a little elaboration. Estimates by Credit Suisse jibe with Warner’s claim that shares, on average, now are held for four months. The World Bank estimates the holding period now is about eight months. So we rate Warner’s statement Mostly True.https://www.sharethefacts.co/share/2825f4d2-7663-4da5-8b09-70db1503d5e3	None	Mark Warner	None	None	None	2016-07-06T00:00:00	2016-06-19	['None']
pomt-09860	Seniors and the disabled "will have to stand in front of Obama's 'death panel' so his bureaucrats can decide, based on a subjective judgment of their 'level of productivity in society,' whether they are worthy of health care."	pants on fire!	/truth-o-meter/statements/2009/aug/10/sarah-palin/sarah-palin-barack-obama-death-panel/	Sarah Palin, the former governor of Alaska, urged her supporters to oppose Democratic plans for health care reform on her Facebook page. "As more Americans delve into the disturbing details of the nationalized health care plan that the current administration is rushing through Congress, our collective jaw is dropping, and we’re saying not just no, but hell no!" wrote Palin in a note posted Aug. 7, 2009. She said that the Democrats plan to reduce health care costs by simply refusing to pay for care. "And who will suffer the most when they ration care? The sick, the elderly, and the disabled, of course. The America I know and love is not one in which my parents or my baby with Down Syndrome will have to stand in front of Obama's 'death panel' so his bureaucrats can decide, based on a subjective judgment of their 'level of productivity in society,' whether they are worthy of health care. Such a system is downright evil." We agree with Palin that such a system would be evil. But it's definitely not what President Barack Obama or any other Democrat has proposed. We have read all 1,000-plus pages of the Democratic bill and examined versions in various committees. There is no panel in any version of the health care bills in Congress that judges a person's "level of productivity in society" to determine whether they are "worthy" of health care. Palin's claim sounds a little like another statement making the rounds, which says that health care reform would mandate counseling for seniors on how to end their lives sooner. We rated this claim Pants on Fire ! The truth is that the health bill allows Medicare, for the first time, to pay for doctors' appointments for patients to discuss living wills and other end-of-life issues with their physicians. These types of appointments are completely optional, and AARP supports the measure. Palin also may have also jumped to conclusions about the Obama administration's efforts to promote comparative effectiveness research. Such research has nothing to do with evaluating patients for "worthiness." Rather, comparative effectiveness research finds out which treatments work better than others. The health reform bill being considered in the House of Representatives says that a Comparative Effectiveness Research Center shall "conduct, support, and synthesize research" that looks at "outcomes, effectiveness, and appropriateness of health care services and procedures in order to identify the manner in which diseases, disorders, and other health conditions can most effectively and appropriately be prevented, diagnosed, treated, and managed clinically." The idea here, which Obama and his budget director Peter Orszag have discussed many times, is to make it easier for doctors, health care workers, insurance companies and patients to find out which treatments are the most effective, as determined by clinical studies and other research. Obama has said he believes a comparative effectiveness commission should advise health care workers, not require them to follow certain treatments. "I actually think that most doctors want to do right by their patients. And if they’ve got good information, I think they will act on that good information," Obama said during an interview with the New York Times on April 28, 2009. He also specifically addressed end-of-life care for seniors, discussing the last week of his grandmother's life in 2008, and how her family and doctors decided on treatment for her. "It is very difficult to imagine the country making those decisions just through the normal political channels," Obama said. "And that's part of why you have to have some independent group that can give you guidance. It's not determinative, but I think has to be able to give you some guidance. And that's part of what I suspect you'll see emerging out of the various health care conversations that are taking place on the Hill right now." And in fact, the House bill states in the section creating the Comparative Effectiveness Research Center and an oversight commission, "Nothing in this section shall be construed to permit the Commission or the Center to mandate coverage, reimbursement, or other policies for any public or private payer." In other words, comparative effectiveness research will tell you whether treatment A is better than treatment B. But the bill as written won't mandate which treatment doctors and patients have to select. Palin's statement seems extreme, but other Republicans, like Newt Gingrich, are backing her up. "You're asking us to trust turning power over to the government, when there clearly are people in America who believe in establishing euthanasia, including selective standards," Gingrich said in an interview on This Week with George Stephanopolous on Aug. 9, 2009. We've looked at the inflammatory claims that the health care bill encourages euthanasia. It doesn't. There's certainly no "death board" that determines the worthiness of individuals to receive care. Conservatives might make a case that Palin is justified in fearing that the current reform could one day morph into such a board. But that's not what Palin said. She said that the Democratic plan will ration care and "my parents or my baby with Down Syndrome will have to stand in front of Obama's 'death panel' so his bureaucrats can decide, based on a subjective judgment of their 'level of productivity in society,' whether they are worthy of health care." Palin's statement sounds more like a science fiction movie ( Soylent Green , anyone?) than part of an actual bill before Congress. We rate her statement Pants on Fire!	None	Sarah Palin	None	None	None	2009-08-10T13:23:46	2009-08-07	['Barack_Obama']
pomt-07647	In fighting collective bargaining changes, Democrats are trying to "protect a system that pays unionized government workers 42 percent more than non-union workers."	mostly false	/wisconsin/statements/2011/mar/15/crossroads-gps/crossroads-gps-says-unionized-government-workers-a/	Republicans fighting the opinion battle over their push to weaken government unions often have sought to contrast the compensation of public-sector workers with that of America’s private workforce. Now they are spotlighting public vs. public. As in unionized government workers vs. non-union ones. In a $750,000 national cable TV ad blitz, Crossroads GPS, a conservative issues advocacy group affiliated with Republican strategist Karl Rove, portrays government unions as self-serving bullies collecting mandatory dues to influence liberals such as President Barack Obama. Against a backdrop of newspaper headlines on the Wisconsin fight over union rights, the 60-second ad asks why Democrats are "shutting down state capitols" with protests. The ad’s answer: "to protect a system that pays unionized government workers 42 percent more than non-union workers." That’s an eye-popping number. As the intense protests continue over Wisconsin Gov. Scott Walker’s successful push to limit collective bargaining in the public sector, we decided to check it out. For support for the number, Crossroads GPS spokesman Jonathan Collegio cited a Cato Institute bulletin from March 2010. The bulletin from Cato, a libertarian think tank, explicitly calls on states to ban collective bargaining in the public sector. "Collective bargaining is a misguided labor policy because it violates civil liberties and gives unions excessive power to block needed reforms," Chris Edwards, the institute’s director of tax policy studies, wrote in the bulletin. That quote leaves no doubt about where Edwards is coming from. Let’s turn to some of his numbers. He presents 2009 data from the U.S. Bureau of Labor Statistics and concludes that "unionized public sector workers have much higher average wages and benefits than non-unionized public sector workers." Specifically, Edwards wrote that union members have a 31 percent advantage in wages and a 68 percent advantage in benefits. An accompanying table of statistics combines the wage and benefits advantage into one number: total compensation. Total compensation is 42 percent higher for the union workers, Edwards concluded. The same figure -- 42 percent -- is cited in the Crossroads ad. Case closed? Not exactly. As Collegio, the spokesman for the group, notes, the ad pulls a hard number directly from the study. But there are some problems. First, the ad says the system "pays" union workers a 42 percent premium. It makes no mention of benefits, even though the Cato report combines the two to get the 42 percent gap. That confuses the comparison right from the start. That point -- "pay" vs. "total compensation" -- didn’t bother Edwards. But the use of the 42 percent number did. It troubles us, too. Edwards says the number is taken out of context and the more accurate total compensation gap is lower, perhaps by a considerable amount. Let’s home in on part of the equation, wages. The study showed a 31 percent gap favoring union members by that measure. But that number, based on raw government data, has not been adjusted to make the comparison across states more valid. Edwards noted the study concludes that part of the union-nonunion gap stems from general labor market variations across states. "States with generally higher wages tend to be more unionized," the study says. "Analyses that hold constant such cross-state differences find that public-sector unions increase average pay levels by roughly 10 percent." That’s a far cry from 31 percent. And the 31 percent was critical in arriving at the 42 percent. How far off is the 42 percent figure? Edwards said it’s impossible to say. While wages have been studied effectively, he said, studies on benefits are rare, partly because benefits vary so much from place to place. We found another study by a libertarian think tank that supports Edwards’ contention that a much lower wage number is more accurate. The Freedom Foundation, based in Washington state, published a study in 2010 that put the gap at 11 percent to 12 percent for state and local government workers, union vs. non-union. Freedom Foundation, which supports Walker’s union move in a petition drive on its website, compared comparable employees, and controlled for state effects, demographics, experience, education, marital status and occupation. Meanwhile, University of Wisconsin-Milwaukee researchers found an even smaller wage gap of about 5 percent. Economists Keith Bender and John Heywood collaborated on an April 2010 study on compensation. Bender, a public sector labor expert, told us that a large body of research has put the figure around 5 percent. So, whatever the true figure, it would substantially reduce the 42 percent used in the ad. Let’s take a final look at a related point. Edwards also took issue with wording in the ad that might lead some viewers to think that the ad is comparing government workers to private employees -- not public union workers with public non-union workers. Let’s take a look back at the ad’s language (italics added): "a system that pays unionized government workers 42 percent more than non-union workers." Would some readers or listeners think Edwards is comparing public to private because the ad fails to modify that second "workers" with the prefix "government?" We suppose they could -- and critics have said it could be a tactic to pit private workers against government workers. But the entire context of the ad is public sector. Let’s review. Crossroads GPS, a conservative group seeking to illustrate the cost of public sector unions says unionized government workers are paid 42 percent more than non-union workers. The study it cites for backup does contain that figure, but the number is misleading because it is not adjusted for important differences between states. Even the author of the study makes this point. There is a gap of some size. So, the ad contains an element of truth in highlighting a pay gap, but uses an inflated number. That rates a Barely True. Editor's note: This statement was rated Barely True when it was published. On July 27, 2011, we changed the name for the rating to Mostly False.	None	Crossroads GPS	None	None	None	2011-03-15T09:00:00	2011-03-09	['None']
pomt-03170	Says every day of a special session costs taxpayers $40,000.	false	/oregon/statements/2013/sep/05/sal-esquivel/do-special-sessions-set-oregon-back-40000-each-day/	While Gov. John Kitzhaber has been considering whether he’ll call the Oregon Legislature back for a special session to look at further cuts to government pensions, some lawmakers are making their opinions known. Rep. Sal Esquivel, a Medford Republican, thinks a special session is a bad idea and wrote an opinion piece about it, which appeared in The Mail Tribune, a paper in southern Oregon. "This sounds like a good idea and an admirable goal on the surface, but it also raises any number of questions," he wrote. "The most important is obvious — why wasn’t this done during the five-month legislative session that we just adjourned?" Esquivel lists a number of arguments, but one caught our attention straight away: "Every day of a legislative session costs Oregon taxpayers $40,000. That includes paying staff, as well as per diem for legislators. And given the governor’s historically poor track record when it comes to special sessions, that is probably not the best use of our limited resources." We vaguely remembered the last special session, when lawmakers convened to give Nike a tax break, but we didn’t remember the bill being so high, so we decided to check it out. First we looked through some of The Oregonian’s articles about the late 2012 special session to see what we’d reported as the cost as then. According to politics reporter Christian Gaston, the per-day cost (and it only lasted a day) of that session was $13,000. That’s a long way from what Esquivel quoted. We shot Esquivel a quick email to see if he could point us toward his sources. The price, he said through a staffer, had come from the "Legislative Finance Office." We checked in with Sandra Rierson, the manager of the Financial Services department, who explained that the price depends on the kind of session you’re talking about. The cost per day of the longer regular sessions comes in at $34,901 a day but a special session is considerably less expensive at $13,000. Both numbers do not include the basic costs of keeping the Capitol running, which would get spent with or without lawmakers in the building. So why the difference? Given the short time frame of a special session, there aren’t nearly as many hires. "We try to use existing staff as much as possible," Rierson said. We called Esquivel to get his response. He said he based the statement on numbers he’d been given years ago. "I was told in the past by LFO that it was $36,000 per day and that was (six) years ago. I am assuming that that number did in fact go up so I concluded $40,000." The figure we received, however, was the most recent average-per-day cost available from the finance department so we’re sticking with it. In an opinion piece arguing against a possible special legislative session, Esquivel said a legislative session costs $40,000 a day. In fact, it’s closer to $35,000, and that’s for regular legislative sessions. Esquivel, however, was making the argument against a special session. The cost per day for that comes in at a much lower $13,000. Because his opinion piece addresses special sessions in particular, there is no truth to his statement -- not to mention the fact that he didn’t use current numbers for regular sessions. We rate this claim False.	None	Sal Esquivel	None	None	None	2013-09-05T16:28:02	2013-08-11	['None']
