snes-03308	Viral Venom	mixture	https://www.snopes.com/fact-check/bee-venom-kills-hiv/	None	Medical	None	Alex Kasprak	None	Bee Venom Kills HIV	19 December 2016	None	['None']
pomt-03213	Wisconsin’s criminal threshold for drunken-driving is "way out of line" with "states surrounding us," which "have the second offense as a felony."	mostly false	/wisconsin/statements/2013/aug/25/alberta-darling/alberta-darling-says-wisconsins-neighbors-make-fel/	Whenever state officials debate tougher penalties for drunken driving, critics raise concerns about the high cost of additional jail time for offenders. State Sen. Alberta Darling, R-River Hills, the co-leader of the latest get-tough push, recently confronted that critique head-on while arguing to make third-offense drunken-driving a felony in Wisconsin. "We can’t just say, ‘It costs too much,’" Darling said in testimony before an Assembly committee Aug. 15, 2013. "What does that say to the victims and the victims’ families, that it costs too much to make a third do-over a felony? Why does it have to be a fourth offense as a felony?" Then she made a geographical appeal, twice saying during the hearing that Wisconsin is "way out of line" with some Midwestern neighbors. "The states surrounding us, Illinois, Iowa and Indiana, have the second offense as a felony," Darling said. "That tells me that that is a reasonable public policy, that other states that are like-minded, that are Midwesterners with similar values, feel that’s what is appropriate. To me that counts. We are way out of line, that you get three do-overs." It’s well known that Wisconsin is the only state in which first-offense drunken driving is not charged as a crime; it’s treated as a civil matter featuring stiff money forfeitures. In fact, the second is still a civil forfeiture if the new offense is more than 10 years after the first, though it’s a criminal misdemeanor if it’s within the decade. But we wondered if the gap between the Badger State and our close neighbors on felony OWI is as stark as Darling described. So we compared Wisconsin’s law to that in the three states Darling mentioned, plus border states Minnesota and Michigan. Darling did not explicitly mention them, but they meet her definition of "surrounding us" (especially compared to Indiana, which doesn’t touch Wisconsin). We’ll confine our review to incidents that involve no aggravating factors such as causing injury or having children in the car. Here’s what we found: Wisconsin: The fourth offense here is a felony that carries a prison term of six months to six years -- but only if a previous offense was within the last five years. Otherwise, that fourth offense is a criminal misdemeanor with a 60 day to 1 year term, state penalty information shows. The third offense is now a criminal misdemeanor. The bill that Darling and Rep. Jim Ott, R-Mequon, have introduced with 13 co-sponsors would change that third offense to a Class H felony with a minimum of 45 days of imprisonment. And the bill would make fourth offense OWI a felony regardless of the timing of prior convictions. Much stiffer sentences would apply if the fourth is within five years of a prior incident. Iowa: Drunken driving becomes a felony quicker than under current Wisconsin law, but upon the third offense, not the second as Darling said. The first and second offenses are both criminal misdemeanors -- an aggravated one in the case of second. Illinois: As in Iowa, it’s the third offense that is a felony. The first two offenses are criminal misdemeanors. Michigan: The same as Iowa and Illinois -- third offense is a felony in Michigan. Indiana: The second offense is a felony if it’s within 5 years of the prior conviction. If the time gap is wider, it gets charged as a misdemeanor -- and that holds true even if it’s a third or fourth offense or more. Minnesota: As in Wisconsin, drunken driving without any aggravating factors is not charged as a crime until the fourth offense. Minnesota sweeps in offenses from the prior 10 years, though, compared with Wisconsin’s five. In sum, four out of our five closest neighbors clearly make drunken driving a felony faster than does Wisconsin. Minnesota, by contrast, is much like Wisconsin on this score. So "out of line" clearly would apply. But "way" out of line? It’s a bit of a subjective phrase, but Darling defined it in a specific way -- that the others make drunken driving a felony on second offense. By that measure, Darling was wrong -- with one exception. Among the surrounding states, only in Indiana is OWI a felony at second offense, and only if the offense is within five years of the first episode. Bob Delaporte, a Darling aide, told us Darling misspoke in saying some of Wisconsin’s neighboring states make it a felony at second offense. Before we close, a disclaimer. This analysis was confined to a simple look at when a felony classification kicks in. We did not try to sort out here the many complexities involved in determining whether one state’s law is truly "tougher" or "weaker" when factors such as plea bargaining and sentencing variations are considered. Still, a felony conviction undeniably packs a special punch, in terms of the loss of rights and stigma. "A felony is such a career killer," said Donald Ramsell, an Illinois attorney and national expert on drunken driving penalties. Nationally, about half the states mirror Wisconsin’s current approach or are more lenient in terms of when -- or if -- a felony charge enters the picture, various state surveys show. Our rating Darling said Wisconsin’s drunken-driving penalties are "way out of line" with "states surrounding us," which "have the second offense as a felony." In contrast to Wisconsin, where fourth offense can be a felony, four out of five of the state’s closest neighbors make it a felony faster than Wisconsin. But only one does so at the second offense as Darling said. Three put the threshold at third offense, and another puts it at fourth, as in Wisconsin. There is a gap between Wisconsin and neighboring states, so there’s an element of truth here, but for the most part that gap is not as wide as Darling said. We rate her claim Mostly False.	None	Alberta Darling	None	None	None	2013-08-25T05:00:00	2013-08-15	['None']
pomt-14659	Says the Democratic Party created a debate schedule "to maximize the opportunity for voters to see our candidates."	false	/florida/statements/2016/jan/20/debbie-wasserman-schultz/democratic-debates-maximize-exposure-debbie-wasser/	Responding to rampant criticism about the Democratic Party’s presidential debate schedule, Debbie Wasserman Schultz has boasted about viewership numbers. The critics include party leaders as well as Hillary Clinton’s primary rivals, U.S. Sen. Bernie Sanders of Vermont and former Maryland Gov. Martin O’Malley. Some Democrats say that the schedule of six debates including some on weekends limits voters’ exposure, giving Clinton an edge. But Wasserman Schultz says ratings show that voters have had plenty of TV face time with the Democratic candidates. "In fact, our first debate beat at least two of the Republican debates. And our last debate, compared to the Republican last debate, was just a little bit less than theirs," the Democratic National Committee chair told CNN’s Brian Stelter Jan. 17, hours before the debate over the Martin Luther King weekend in Charleston. After Stelter pressed her, Wasserman Schultz, a Broward County congresswoman, replied: "Brian, there's no number of debates that will satisfy everyone. So, I did my best to make sure, along with my staff and along with our debate partners, to come up with a schedule that we felt was going to maximize the opportunity for voters to see our candidates." Clearly, we can't rate what people within the Democratic party intended. Our fact-check looks at what the outcome was. Did the Democrats "maximize the opportunity" for voters to see their candidates? We found there’s no fair reading of the Democratic debate schedule that supports this. Democratic and Republican debate schedules in 2016 The Democrats scheduled six primary debates; the Republicans scheduled 11 primary debates (plus one more in March that is unscheduled). So far, Democrats have held four debates with a cumulative viewership of about 42.5 million while Republicans have held six debates with a cumulative viewership of about 103.7 million, according to Nielsen ratings of same-day viewership. Democratic debates: Date Day of week Network Viewership Oct. 13, 2015 Tuesday CNN 15.8 million Nov. 14, 2015 Saturday CBS 8.5 million Dec. 19, 2015 Saturday ABC News 8 million Jan. 17, 2016 Sunday NBC News 10.2 million Feb. 11, 2016 Thursday PBS TBD March 9, 2016 Wednesday Univision TBD Republican debates: Date Day of week Network Viewership Aug. 6, 2015 Thursday Fox News 24 million Sept. 16, 2015 Wednesday CNN 23 million Oct. 28, 2015 Wednesday CNBC 14 million Nov. 10, 2015 Tuesday Fox Business Network 13.5 million Dec. 15, 2015 Tuesday CNN 18.2 million Jan. 14, 2016 Thursday Fox Business Network 11.1 million Jan. 28, 2016 Thursday Fox News TBD Feb. 6, 2016 Saturday ABC TBD Feb. 13, 2016 Saturday CBS TBD Feb. 25, 2016 Thursday CNN TBD March 10, 2016 Thursday CNN TBD Back in 2008, when Barack Obama won the nomination, the Democrats held about 25 primary debates while the Republicans held 21. Overall, it looks like the GOP is doing a significantly better job of reaching viewers. Wasserman Schultz response In defense of Wasserman Schultz’s statement, DNC spokesman Sean Bartlett raised several points: • There are more GOP candidates than Democratic candidates. At the outset of the 2016 race, there were 17 Republican candidates but only five Democratic candidates. • Only three Democratic debates in 2008 topped the Democrats’ lowest rated debate this cycle. • The first Democratic debate drew 15.8 million viewers, surpassing the viewership of three of the Republican debates this cycle. • All but one of the Democratic debates are on broadcast network TV, which makes it more likely for people without cable to tune into the debates. • The schedule of one debate a month for six months doesn’t pull the candidates away from town halls and other events with voters. Still, Wasserman Schultz has faced constant questions about the debate schedule, specifically whether it was intended to help Clinton or minimize viewership. "That’s ridiculous," she said on Jan. 11 in Broward County. "I don’t know how many times I have to say it." She said that the Sunday debate in Charleston -- the city where nine African-Americans were killed at a church in 2015 -- was a recommendation by the Congressional Black Caucus Institute and NBC to coincide with Martin Luther King weekend. Experts dispute Wasserman Schultz’s characterization We contacted five professors of political science and communications. None of them bought Wasserman Schultz’s statement. "By the time voting starts in Iowa, potential voters will have seen about 40 percent less of Democratic candidates on the debate stage than their Republican counterparts," University of Michigan’s Director of Debate Aaron Kall told PolitiFact. Kall cited several factors contributing to the larger Republican viewership: • The first Republican debate occurred in early August, before the start of the NFL and NCAA college football seasons. Viewer anticipation is usually highest for the first debate. The Democrats didn't host their first debate until over two months later. • Of the four Democratic debates so far, three were on weekends, including the Dec. 19 debate a week before Christmas and the same night as the New York Jets vs. Dallas Cowboys NFL game. The Jan. 17 debate was the day before the Martin Luther King, Jr. Day holiday. Kall cited two major factors beyond the Democrats’ control that have aided superior Republican ratings: a much larger GOP field and the phenomenon of Donald Trump, an entertainment star in his own right from his time on The Apprentice. John Schroeder at Northeastern University noted that the two highest Republican debates each drew between 23 million and 24 million, much higher than the Democratic debates. While a lot of the disparity is due to Trump, another factor is that all the Republican debates so far have been held on weekdays. "I think we can safely say that weekend time slots are not the key to maximizing the viewing audience," Schroeder said. Our ruling Wasserman Schultz says the party came up with a debate schedule "to maximize the opportunity for voters to see our candidates." Wasserman Schultz’s best point is that the Democrats largely scheduled their debates with TV networks, which means viewers without cable can see them. But other than that, her statement is very disingenuous. There are six Democratic party debates compared with 11 scheduled for the Republicans, and half of the Democratic debates are on weekends -- including one the weekend before Christmas and another on the Martin Luther King Jr. holiday weekend. If the Democrats had wanted to "maximize" opportunities for viewers, the party could have added more debates, scheduled them on weekdays and avoided holidays. We rate this claim False. https://www.sharethefacts.co/share/4332516c-4413-4f88-bea0-e863cbe4f587	None	Debbie Wasserman Schultz	None	None	None	2016-01-20T15:10:22	2016-01-17	['None']
pomt-11517	In Parkland, Fla. "the mass murderer was immersed in Islamic and leftwing hate."	pants on fire!	/punditfact/statements/2018/feb/19/pamela-geller/no-proof-nikolas-cruz-was-motivated-islamic-or-lef/	A conservative website portrayed Nikolas Cruz, who admitted to fatally gunning down 17 people at Marjory Stoneman Douglas High School, as sharing views of certain Muslims and leftists. "The mass murderer was immersed in Islamic and leftwing hate," stated a story on the Geller Report website on Feb. 14, the day of the shooting at the Parkland, Fla., school. The author of the website, Pamela Geller, is an activist who co-founded Stop Islamization of America, also known as the American Freedom Defense Initiative, a far-right group. Facebook users flagged the post as being potentially fabricated, as part of the social network’s efforts to combat online hoaxes. We found no evidence that Cruz was immersed in Islamic or left-wing hate. Most of Geller’s story has nothing to do with political views held by Cruz. It largely repeats an initial story by Fox News the day of the shooting and showed some of Cruz’s alleged Instagram posts, identified by other teenagers as his, which included images of guns and knives as well as an image of a bullseye target with bullet holes that included the phrase "Group Therapy." Geller included an image from what was believed to be Cruz’s Instagram account showing a Google search for the Arabic phrase "Allahu Akbar." The phrase, which means "God is greater," is used by Muslims on many occasions and in prayers but has also at times been uttered by people commiting attacks. Cruz’s Instagram account has since been shut down; however, multiple media reports stated that Cruz appeared to make fun of Islam when he wrote that "at least we now know what it means when a sand durka says ‘allahu Akbar.'" We sent Geller a summary of our findings and asked if she had evidence to support her claim. "He mocked the phrase, but then he turned to violence himself. This indicates that underneath his mockery, he had an affinity with those who scream this phrase while murdering people," she told PunditFact in an email. Geller said that Cruz’s interest in the phrase "Allahu Akbar" "doesn't mean he was an Islamic jihadi, but his mockery of it may have been an attempt to deflect attention from his aspirations, or maybe even to try to convince himself not to take the path he ultimately chose. Ultimately, we cannot know for sure what was in his mind, or what was left of it." Law enforcement are investigating motives and his social media posts. The portrait that has emerged of Cruz so far is not of a person motivated by political views, but one of a young man who was drawn to firearms and had a troubled past. Cruz had regularly gotten in trouble at school at least since middle school and had transferred out of Stoneman Douglas in 2017 and had since attended alternative schools. He had a history of mental illness, and police had been called to his home. Cruz’s mother died in November; his father died when he was a young child. Ocean Parodie, 17, told The Daily Beast that Cruz wore patriotic shirts that "seemed really extreme, like hating on" Islam and would also deride Muslims as "terrorists and bombers." In general teenagers who knew Cruz used words such as "off," "weird" and "crazy" to describe him to journalists. Some initial news reports stated that Cruz was affiliated with a white nationalist group in Florida, but law enforcement said they didn’t have information to support that connection. A white nationalist appeared to have spread misinformation to media outlets. We emailed spokespersons for Instagram, the FBI and the Broward Sheriff’s Office to ask some questions about Cruz’s Instagram account but not did get a reply. Broward County Sheriff Scott Israel did not offer any involvement in Islamic or hate groups to explain why Cruz walked into the school with an assault weapon in a Feb. 18 interview with Local 10 ABC’s Michael Putney. When asked why Cruz shot up the school Israel said: "Because he is an evil killer." The Geller Report described Cruz as being "immersed in Islamic and leftwing hate." Law enforcement are investigating motives, but so far Cruz appeared to be a person who had mental illness and a fascination with guns. A mocking Instagram post attributed to him showed he Googled the phrase "Allahu Akbar" but that doesn’t prove that he was immersed in Islamic and left-wing hate. We found no evidence to support Geller’s claim. We rate this statement Pants on Fire. ' See Figure 1 on PolitiFact.com	None	Pamela Geller	None	None	None	2018-02-19T14:42:57	2018-02-14	['Islam']
tron-01164	Arizona Protest Sign Threatens Violence to Peace Officers	disputed!	https://www.truthorfiction.com/arizona-protest-sign-warning/	None	crime-police	None	None	None	Arizona Protest Sign Threatens Violence to Peace Officers	Mar 17, 2015	None	['None']
pomt-14805	Says Russ Feingold "wanted to get money out of politics. Now he's profiting from that same dark money."	half-true	/wisconsin/statements/2015/nov/27/national-republican-senatorial-committee/campaign-finance-reformer-russ-feingold-profiting-/	A television ad attacking Wisconsin Democrat Russ Feingold, who is aiming to reclaim the U.S. Senate seat he held for 18 years, opens with images of rapidly rotting fruit. The National Republican Senatorial Committee spot aired in Milwaukee and Green Bay during the GOP presidential debate in Milwaukee on Nov. 10, 2015. It contends that Feingold’s time in Washington changed him for the worse. "His values decayed, his principles eroded and he lost touch with Wisconsin," the narrator says midway into the ad. "He wanted to get money out of politics. Now he’s profiting from that same dark money." Feingold has long championed campaign finance reforms, though he earned a Full Flop on our Flip-O-Meter for reversing his position on raising most of his campaign funds from Wisconsin residents. But is Feingold "profiting" from "dark money"? That is, money spent in election campaigns by groups that don’t have to disclose their donors? More darkness Dark money spending is rising, we found earlier this month in rating as True a claim by U.S. Sen. Tammy Baldwin, D-Wis. So far in the 2015-2016 election, $4.88 million in dark money expenditures, mostly by conservative groups, have been made. That’s more than 10 times what was spent at this point during the 2011-2012 cycle -- when a total of $308 million in dark money was spent. It remains to be seen how much dark money might be spent on either side as Feingold challenges Republican U.S. Sen. Ron Johnson in 2016, in a rematch of their 2010 contest. The ad In the TV ad, when the claim about Feingold and dark money is made, footnotes alluding to two news articles appear on the screen. The major one was a Milwaukee Journal Sentinel story in June 2015 on spending by two groups Feingold formed in February 2011: Progressives United PAC, a liberal political action committee, and Progressives United Inc., a so-called 501(c)(4) nonprofit organization. The Journal Sentinel article reported that data compiled by the nonpartisan Center for Responsive Politics showed the PAC had given a mere 5 percent of its income to federal candidates and political parties. Instead, nearly half of the $7.1 million that had been spent went to raising more money for itself. The article also said Feingold and nine of his former campaign and U.S. Senate staffers drew salaries or consulting fees from the PAC, and five of them also spent time on the payroll of Progressives United Inc., the nonprofit. PACs, however, are required to disclose their donors. So, our focus here is on the Progressives United Inc. nonprofit. It is a dark money group in that 501(c)(4) groups (a reference to the Internal Revenue Service code) are not required to disclose their donors. At the same time, nothing prevents nonprofits such as Progressives United Inc. from disclosing donors on their own. The money Federal tax filings show Progressives United Inc. paid Feingold as president of the group $10,000 in 2011, $30,000 in 2012 and $19,500 in 2013 -- a total of $59,500. But he is no longer "profiting" from the nonprofit in that he took a leave from Progressives United after being selected a special envoy to the Great Lakes region of Africa in June 2013. He hasn’t received any payments since 2013. But Progressives United Inc. didn’t actually operate as a conventional dark-money group does -- at least while it was active. A Feingold campaign spokesman sent us links (using the "Way Back Machine" -- archive.org) so that we could access pages from the Progressive United Inc. website that have since been taken down. The donors were listed for 2011, 2012, 2013 and 2014. But Progressives United Inc. stopped operating at the end of 2014 and its website is dormant. That means the donor lists are no longer readily available -- at a time, with Feingold running for the Senate, when public interest in the lists might be high. A Feingold campaign spokesman told us the website is no longer active because Progressives United Inc. no longer is taking in income to pay for expenses such as web hosting. Our rating The National Republican Senatorial Committee said Feingold "wanted to get money out of politics. Now he's profiting from that same dark money." Feingold received $59,500 in salary from Progressives United Inc., a non-profit founded by Feingold that is not required to disclose its donors, but stopped receiving payments in 2013. While it was active, the group voluntarily listed its donors on its website. But those lists are no longer readily accessible, since the group’s website is no longer active. For a statement that is partially accurate but leaves out important details, our rating is Half True. More on Russ Feingold NRSC says Feingold cast the "deciding vote" for the "largest tax increase" in history. Mostly False Feingold says Ron Johnson "opposes entirely a federal minimum wage," except perhaps for "guest workers." True Feingold says Ron Johnson "is opposed to all government-assisted student loans." Mostly True	None	National Republican Senatorial Committee	None	None	None	2015-11-27T10:00:00	2015-11-10	['Russ_Feingold']
pomt-11468	The 2018 Academy Awards show was the "lowest rated Oscars in HISTORY."	true	/truth-o-meter/statements/2018/mar/06/donald-trump/donald-trump-correct-about-record-low-ratings-2018/	President Donald Trump -- who has often invoked television ratings either as a sign of his own strength or of his rivals’ weakness -- appeared to take pleasure in the disappointing performance of the 2018 Oscars, which aired on ABC on March 4. Two days after the show aired, Trump tweeted, "Lowest rated Oscars in HISTORY. Problem is, we don’t have Stars anymore - except your President (just kidding, of course)!" See Figure 1 on PolitiFact.com Was Trump right that 2018 marked a low point for the Oscars? Since the beginning of Nielsen TV audience ratings in 1974, yes. The 2018 show attracted 26.5 million viewers, down almost 20 percent from the 2017 show. (Both were hosted by ABC late-night host Jimmy Kimmel.) Adweek noted that the 2018 Oscars "won’t end up as the year’s highest-rated entertainment telecast," since it has already been beaten out by the post-Super Bowl episode of the prime-time drama This Is Us. This is not a one-year downward blip, either. Oscars viewership in 2018 fell by 39 percent from its level just four years earlier, in 2014, when Ellen DeGeneres hosted for ABC. The previous low of 31.8 million viewers came in 2008, when Jon Stewart hosted not long after a lengthy writers' strike ended. Here’s a summary of viewership totals since 2008: See Figure 2 on PolitiFact.com The all-time high for viewership came in 1998, when Billy Crystal hosted the ceremony and 55 million viewers watched. In 1998, the blockbuster Titanic won 11 Oscars, including Best Picture. Experts say the connection between high box office grosses and high viewership is more than coincidence. This year’s nominated films earned far less than Titanic, which had grossed north of $300 million by the time of the 1998 awards ceremony. The top earner among 2018’s best picture nominees was Dunkirk with $188 million, and only two other nominees this year made in excess of $60 million domestically. (All made additional money overseas.) Movie Domestic gross Dunkirk $188 million Get Out $176 million The Post $80 million The Shape of Water $57 million Darkest Hour $56 million Three Billboards Outside Ebbing, Missouri $52 million Lady Bird $48 million Phantom Thread $20 million Call Me by Your Name $17 million "Most of the movies up for Oscars in multiple categories are films that average moviegoers have not seen," said Eric Deggans, NPR’s television critic. "That's a function of our fragmented media landscape." Among the widely seen films that were shut out of high-profile Oscars nominations were Star Wars: The Last Jedi, Wonder Woman, Guardians of the Galaxy Vol. 2, Beauty and the Beast and The Fate of the Furious. Still, Deggans added that movie grosses aren’t the only factor to blame for low viewership. In fact, The Shape of Water -- this year’s Best Picture winner -- was the highest grossing film to win Best Picture since 2013, when Argo won. Rather, the longer-term -- and more intractable -- problem for the Oscars is the fragmentation of the television audience. And this goes beyond the impact of digital streaming, which isn’t tabulated in the Nielsen ratings. "Every awards show on television has seen erosion, and many are notching record lows in viewership," Deggans said. "There are more things than ever competing for an audience's attention, and more alternatives for people who might not want to sit through something as conventional as an awards ceremony." Ratings for the most recent Grammys fell by almost one-quarter in just one year, while the Screen Actors Guild Awards fell by 30 percent and the Golden Globes fell by 5 percent. This year’s Super Bowl had the lowest audience since 2009. Our ruling Trump said the 2018 Academy Awards show was the "lowest rated Oscars in HISTORY." He’s right, at least going back to 1974, when Nielsen started reporting ratings. We rate Trump’s statement True. See Figure 3 on PolitiFact.com	None	Donald Trump	None	None	None	2018-03-06T16:21:35	2018-03-06	['Academy_Awards']
pomt-03533	"Two weeks after signing a taxpayer protection pledge, (Charlie Crist) breaks it."	mostly false	/florida/statements/2013/may/30/republican-party-florida/state-republicans-say-it-took-charlie-crist-only-t/	The Republican Party of Florida is launching a pre-emptive strike against former golden boy Charlie Crist, who very well could run for governor in 2014 as a Democrat. In a new Web ad, the state GOP spoofs the History Channel with a segment called "This Day in CRIST-ory." The date: May 28, 2009. (The date should be May 27, but the state GOP flubbed that.) The setting: Tallahassee. The story: Then-Republican Gov. Crist is signing a $66.5 billion budget that includes a $1-a-pack cigarette tax and higher fees on drivers licenses and motor vehicle tags. The new taxes and fees, which are estimated to generate $2.2 billion, are needed to pass a balanced state budget -- and were supported by Republicans in the Legislature -- but also break Crist’s pledge not to raise taxes. "Two weeks after signing a taxpayer protection pledge, he (Crist) breaks it!" the Republican Party’s ad exclaims. Here at PolitiFact Florida, we didn’t need a history lesson to remember the basics of the 2009 budget. But we did wonder about the state GOP’s assertion that Crist had the gall to break a pledge just two weeks after he signed it. Crist, it turns out, did sign a taxpayer protection pledge two weeks before signing the budget into law. We found that through a press release from … the Republican Party of Florida. At the time, Crist had recently announced he was running for the U.S. Senate, and Republicans far and wide were rallying around his candidacy. (Well, except former House Speaker Marco Rubio. That’s for another day in CRIST-ory.) But the pledge Crist signed on May 14, 2009, was for federal candidates, not state ones. And it was specific to income taxes. Not taxes in general. Crist signed a pledge from the Americans for Tax Reform, a well-known anti-tax group led by Grover Norquist. In it, Crist promised to "oppose any and all efforts to increase the marginal income tax rates for individuals and/or businesses; and ... oppose any net reduction or elimination of deductions and credits, unless matched dollar for dollar by further reducing tax rates." A tax pledge yes, but one that wouldn’t be broken with a tax on cigarettes or motor vehicle fees. That doesn’t get Crist out of hot water, however. Crist signed another taxpayer pledge from Americans for Tax Reform in June 2005. In that pledge, Crist promised to "oppose and veto any and all efforts to increase taxes." "Pledges are important, but actions speak louder," Crist said in an email to supporters in December 2005. "Throughout my years of public service I have stood squarely against tax increases, and will continue to do so as governor." Crist’s 2009 budget signature does appear to violate his older pledge -- particularly in allowing the $1-a-pack cigarette tax to become law. "The cigarette tax is appropriate, and I really view it more as a health issue than I do as a tax issue," Crist said May 19, 2009. "(Ronald) Reagan said when you want to kill something you ought to tax it. Well, it wouldn't be bad if you killed smoking. There are about 2 million Floridians, maybe a few less, who smoke. And it's not good for you." (We looked for that Reagan quote, the closest we could find was," Government's view of the economy could be summed up in a few short phrases: If it moves, tax it. If it keeps moving, regulate it. And if it stops moving, subsidize it.") Republican Party of Florida spokesman Matt Moon admitted the mistake in the ad's phrasing. "While it's true we should have been more precise and not used the words 'two weeks,' ... he did sign a taxpayer protection pledge that he did break," Moon said. "And we're still going to call him out on it." Our ruling In a new Web ad, the state GOP portrayed Crist as a man who didn’t keep his word when it comes to raising taxes. The record there is pretty clear. Crist signed a pledge saying he would oppose efforts to increase taxes, yet signed a budget that included a $1-a-pack cigarette tax. However, the state Republican Party went unnecessarily far when it tried to say that it took Crist just two weeks to break that promise. The pledge he signed two weeks before approving the cigarette tax did not apply. We rate the Republicans’ claim Mostly False.	None	Republican Party of Florida	None	None	None	2013-05-30T15:46:21	2013-05-28	['Charlie_Crist']
tron-02108	Teen Escapes Death After Hospital Video Captures Images of What the Family Believes Was an Angel	truth!	https://www.truthorfiction.com/angel-chelsea/	None	inspirational	None	None	None	Teen Escapes Death After Hospital Video Captures Images of What the Family Believes Was an Angel	Mar 17, 2015	None	['None']
pomt-05813	Says he banned texting while driving in Austin.	half-true	/texas/statements/2012/feb/21/mike-martinez/mike-martinez-says-he-banned-texting-while-driving/	Mike Martinez, an Austin City Council member seeking re-election in May, recently pointed supporters to his campaign website, which includes an issues page touching on ways he says he’s delivered for the Austin community. On the page, which we viewed Feb. 10, 2012, Martinez says he helped lead efforts to protect an East Austin spring, helped the city establish a "no-kill" policy at municipal animal shelters and helped launch a community gardens program. We’re not checking any of that for this article. But we paused at another Martinez point: "Banned texting while driving to improve safety for drivers, bicyclists and pedestrians." Martinez banned TWD in ATX? Austin’s texting-while-driving ban, which took effect Jan. 1, 2010, has yielded about $31,800 in fine revenue for the city’s general fund, according to Rebecca Stark, the city’s municipal court director. She told us that 93 drivers in 2010 and 158 drivers in 2011 pleaded no contest or guilty or were found guilty of violating the ban. In 2010, 121 cases of ban violations were filed, she said. That figure nearly doubled to 222 in 2011. In a telephone interview, Martinez, a former firefighter who won his first council term in 2006, told us that as a member of the city’s public safety task force, he brought up the idea of banning texting while driving, initially to derision. He said he asked the Austin Police Department to research texting as a local traffic hazard and after years of community conversations, the seven-member City Council approved the ordinance. Martinez told us that he did not ban texting by his lonesome: "Anything we do has to be ratified by the council. I did take a certain ownership and pride in this issue. I was the only council member to originally call for a ban on texting." According to Austin American-Statesman news articles, the ordinance barring texting while driving won unanimous council approval in October 2009. Violations are Class C misdemeanors subject to fines of up to $500. Some Statesman stories describe Martinez as the council’s lead proponent of the ban. In November 2008, the public safety task force voted to urge City Manager Marc Ott to develop a ban proposal. A Nov. 4, 2008, Statesman news article says "Martinez, who is leading the effort, said he has received dozens of calls in recent months from motorists, pedestrians and bicyclists asking for such a law. "It is something that needs to be done," the story quotes Martinez saying. "When you see accidents that have happened or you hear about near-misses, it is just a step we can take to ensure the safety of our citizens."" In August 2009, the council directed city staffers to draft the proposed ban as an ordinance. An Aug. 28, 2009, Statesman news article refers to Martinez as the lead proponent of the ban. According to minutes of the Oct. 22, 2009, council meeting during which members adopted the ban, Martinez made the "main motion" for its approval. The motion was seconded by Mayor Lee Leffingwell. Upshot: Martinez’s claim overshoots because, of course, he could not have imposed the ban by himself. The seven-person council acts on proposed ordinances. Still, Martinez was a leading advocate of the ban. We rate his statement Half True.	None	Mike Martinez	None	None	None	2012-02-21T06:00:00	2012-02-10	['Austin,_Texas']
