thet-00036	New Scottish Labour leader Richard Leonard just gave a speech demanding Scottish Water be “taken back into public ownership”. But it already is.	mostly true	https://theferret.scot/scottish-water-public-ownership/	None	Environment Fact check 	John Nicolson	None	None	Claim that Scottish water is in public hands is Mostly True	December 1, 2017	None	['None']
thet-00032	Claim Scotland Office hospitality spending has increased seven-fold is False	none	https://theferret.scot/scotland-office-spending-increased-seven-fold-false/	None	Fact check Politics 	None	None	None	Claim Scotland Office hospitality spending has increased seven-fold is False	January 11, 2018	None	['None']
thet-00077	Has the SNP overseen the biggest in-work poverty increase since devolution?	none	https://theferret.scot/snp-overseen-biggest-work-poverty-increase-since-devolution/	None	Fact check 	None	None	None	Has the SNP overseen the biggest in-work poverty increase since devolution?	April 28, 2017	None	['None']
thet-00030	Claim wealth inequality in Scotland has increased	true	https://theferret.scot/wealth-inequality-scotland-oxfam/	None	Fact check 	None	None	None	Claim wealth inequality in Scotland has increased is True	January 29, 2018	None	['None']
thet-00017	Since Police Scotland was established 5 years ago with specialist homicide unit, there have been total of 301 murders in Scotland & every single one of them has been solved	half true	https://theferret.scot/murders-2013-solved-police-scotland/	None	Crime and justice Fact check 	Paul Wheelhouse MSP	None	None	Claim that all murders in Scotland since 2013 have been solved is Half True	April 13, 2018	None	['Scotland']
thet-00048	FFS explains: the GERS report and Scotland’s deficit	none	https://theferret.scot/ffs-explains-gers-report-scotland-deficit/	None	Fact check 	None	None	None	FFS explains: the GERS report and Scotland’s deficit	September 14, 2017	None	['None']
thet-00023	Fact check: The SNP in Scotland vs Labour in Wales	none	https://theferret.scot/scottish-government-snp-scotland-labour-welsh-government-wales/	None	Fact check Politics 	None	None	None	Fact check: The SNP in Scotland vs Labour in Wales	March 1, 2018	None	['Scotland', 'Scottish_National_Party']
thet-00019	...the problem with the supply of affordable housing in England is much, much, much larger than Scotland. I find it fascinating that there is no private-sector rental used at all to place people up here – it’s all local authority and housing association, because you have supply.”	false	https://theferret.scot/scotland-homeless-housing-private-sector/	None	Fact check Housing and homelessness 	Heather Wheeler MP	None	None	Claim that Scotland does not use private accommodation for homeless people is False	March 23, 2018	None	['Scotland', 'England']
thet-00072	Does Scotland attract only four per cent of the UK’s immigrants?	none	https://theferret.scot/scotland-attracts-four-percent-uk-immigrants/	None	Fact check Politics 	None	None	None	Does Scotland attract only four per cent of the UK’s immigrants?	May 26, 2017	None	['None']
thet-00070	Under the SNP, teacher numbers have declined by 4,000.	true	https://theferret.scot/teacher-numbers-declined-snp/	None	Education Fact check 	Scottish Labour leader Kezia Dugdale	None	None	Have teacher numbers declined under the SNP government?	June 2, 2017	None	['None']
thet-00005	“Labour built less than half the number of homes for social rent than they claim. SNP has delivered almost 52,600 homes for social rent, including 9,799 council homes.”	mostly true	https://theferret.scot/snp-social-rent-labour/	None	Fact check Housing and homelessness 	SNP, Twitter	None	None	Claim that SNP built more social rent homes than Labour Mostly True	August 29, 2018	None	['None']
thet-00021	FFS Explains: The gender pay gap in Scotland	none	https://theferret.scot/ffs-explains-gender-pay-gap-scotland/	None	Employment Fact check Finance 	None	None	None	FFS Explains: The gender pay gap in Scotland	March 14, 2018	None	['None']
thet-00047	Claim that 200,000 people are waiting for affordable housing is Half True	none	https://theferret.scot/200000-people-waiting-list-affordable-housing/	None	Fact check Housing and homelessness 	None	None	None	Claim that 200,000 people are waiting for affordable housing is Half True	September 15, 2017	None	['None']
thet-00026	Fact check: Scottish Labour’s party political broadcast	none	https://theferret.scot/scottish-labour-party-political-broadcast/	None	Fact check Politics 	None	None	None	Fact check: Scottish Labour’s party political broadcast	February 16, 2018	None	['None']
thet-00043	Wages are lower now in real terms than they were in 2007, after the slowest decade of wage growth in over two hundred years.	true	https://theferret.scot/ian-blackford-wage-growth-200-years/	None	Fact check Finance 	Ian Blackford, SNP Westminster leader	None	None	Ian Blackford’s claim of worst wage growth in 200 years is True	October 21, 2017	None	['None']
