afck-00108	“Life expectancy [has] increased [by] 6 years.”	understated	https://africacheck.org/reports/sas-secret-ballot-debate-6-anc-achievements-scrutinised/	None	None	None	None	None	SA’s secret-ballot debate: 6 ANC achievements scrutinised	2017-08-17 08:52	None	['None']
afck-00067	“[Of those] fortunate enough to get to matric and pass and enter university, half will drop out before they reach their second year.”	incorrect	https://africacheck.org/reports/verifying-key-claims-in-the-2018-state-of-the-nation-debate/	None	None	None	None	None	Verifying key claims in SA’s 2018 State of the Nation address debate	2018-02-19 02:56	None	['None']
afck-00416	“Nearly 80,000 land claims, totalling 3.4 million hectares, have been settled and 1.8 million people have benefited.”	mostly-correct	https://africacheck.org/reports/a-first-look-at-president-jacob-zumas-2014-state-of-the-nation-address/	None	None	None	None	None	President Jacob Zuma’s sixth State of the Nation address fact-checked	2014-02-14 12:39	None	['None']
afck-00100	“Heart disease is the leading cause of death in South Africa”	incorrect	https://africacheck.org/reports/no-heart-disease-is-not-sas-leading-cause-of-death-as-health24-tweeted/	None	None	None	None	None	No – heart disease is not SA’s leading cause of death, as Health24 tweeted	2017-09-05 11:06	None	['None']
afck-00188	The manufacturing sector created more than 7,000 new jobs during the first six months of 2016.	incorrect	https://africacheck.org/reports/zumas-anc-birthday-speech-6-claims-fact-checked/	None	None	None	None	None	Zuma’s ANC birthday speech: 6 claims fact-checked	2017-01-12 09:06	None	['None']
afck-00287	“The prevalence of pregnancy increased with age, rising from 0.7% for females aged 14 years, to 12.1% for females aged 19 years.”	correct	https://africacheck.org/reports/national-youth-policy-health-and-violence/	None	None	None	None	None	National Youth Policy: crime & health claims fact-checked	2015-06-11 11:46	None	['None']
afck-00328	“Through the Accelerated School Infrastructure Delivery Initiative [ASIDI] which is part of the national infrastructure plan, 92 schools have been completed to date and 108 are under construction. About 342 schools have received water for the first time. Three hundred and fifty one schools have received decent sanitation while 288 have been connected to electricity.”	unproven	https://africacheck.org/reports/sona-2015-more-key-claims-fact-checked/	None	None	None	None	None	SONA 2015: More key claims fact-checked	2015-02-17 09:03	None	['None']
afck-00110	“… we have seen students who have obtained the national senior certificate increasing from 45% to 56%”	unproven	https://africacheck.org/reports/sas-secret-ballot-debate-6-anc-achievements-scrutinised/	None	None	None	None	None	SA’s secret-ballot debate: 6 ANC achievements scrutinised	2017-08-17 08:52	None	['None']
afck-00383	“While the broad unemployment rate in South Africa is a staggering 34%, the Western Cape has a broad unemployment rate of 22%.”	correct	https://africacheck.org/reports/is-the-das-western-cape-story-a-good-story-to-tell-we-examine-the-claims/	None	None	None	None	None	Is the DA’s Western Cape Story a ‘good story to tell’? We examine the claims	2014-03-28 05:02	None	['South_Africa']
afck-00348	“The number of children attending Grade R has more than doubled, moving from about 300,000 to more than 700,000 between 2003 and 2011.”	correct	https://africacheck.org/reports/2014-sona-claims-revisited-zuma-on-education/	None	None	None	None	None	2014 SONA claims revisited: Zuma on education	2015-02-10 08:55	None	['None']
afck-00106	“…our people’s access to electricity has increased from 58% to 85%.”	mostly-correct	https://africacheck.org/reports/sas-secret-ballot-debate-6-anc-achievements-scrutinised/	None	None	None	None	None	SA’s secret-ballot debate: 6 ANC achievements scrutinised	2017-08-17 08:52	None	['None']
afck-00019	“Today, we have the highest unemployment rate in the history of our country.”	unproven	https://africacheck.org/reports/nigerian-joblessness-at-all-time-high-checking-a-politicians-claims/	None	None	None	None	None	Nigerian joblessness at all-time high? Checking a politician’s claims	2018-08-13 08:34	None	['None']
afck-00428	South African schoolgirls had 100,000 abortions last year.	incorrect	https://africacheck.org/reports/is-sa-worse-off-now-than-19-years-ago-the-facts-behind-that-facebook-post/	None	None	None	None	None	Is SA worse off now than 19 years ago? The facts behind THAT Facebook post	2013-11-28 05:16	None	['None']
afck-00289	“According to the South African June 2014 labour force survey, 36.1% of young people between the ages of 15 and 35 are unemployed”	correct	https://africacheck.org/reports/national-youth-policy-unemployment-and-education/	None	None	None	None	None	National Youth Policy: unemployment and education claims fact-checked	2015-06-10 01:12	None	['None']
