hoer-00137	Automation Labs Facebook Privacy Warning	bogus warning	https://www.hoax-slayer.com/automation-labs-facebook-warning.shtml	None	None	None	Brett M. Christensen	None	Automation Labs Facebook Privacy Warning Hoax	4th February 2010	None	['None']
hoer-00624	Warning - Grapes and Raisins Toxic to Dogs And Cats	true messages	https://www.hoax-slayer.com/grapes-raisins-dogs-cats-warning.shtml	None	None	None	Brett M. Christensen	None	Warning - Grapes and Raisins Toxic to Dogs And Cats	July 29, 2013	None	['None']
hoer-01154	Facebook Award 2016	facebook scams	https://www.hoax-slayer.net/facebook-award-2016-advance-fee-scam/	None	None	None	Brett M. Christensen	None	Facebook Award 2016 Advance Fee Scam	March 30, 2016	None	['None']
hoer-01000	Phishing Scams Continue To Target Facebook Page Owners	facebook scams	https://www.hoax-slayer.net/phishing-scams-continue-to-target-facebook-page-owners/	None	None	None	Brett M. Christensen	None	Phishing Scams Continue To Target Facebook Page Owners	July 8, 2017	None	['None']
hoer-00984	Mercedes Benz Giveaway	facebook scams	https://www.hoax-slayer.net/mercedes-benz-giveaway-like-farming-scam/	None	None	None	Brett M. Christensen	None	Mercedes Benz Giveaway Like-Farming Scam	November 20, 2017	None	['None']
hoer-00714	Travel Warning - Khas Khas (Poppy Seed) Imprisonment in UAE	true messages	https://www.hoax-slayer.com/khas-khas-poppy-seed-warning.shtml	None	None	None	Brett M. Christensen	None	Travel Warning - Khas Khas (Poppy Seed) Imprisonment in UAE	23rd September 2010	None	['None']
hoer-00866	Facebook Warning Claims Pedigree Dry Dog Food Killed Dogs	unsubstantiated messages	https://www.hoax-slayer.com/pedigree-dry-dog-food-warning.shtml	None	None	None	Brett M. Christensen	None	Facebook Warning Claims Pedigree Dry Dog Food Killed Dogs	August 16, 2013	None	['None']
hoer-00372	'Daddy it Hurts' Anti-Child Abuse Chain Letter	facebook scams	https://www.hoax-slayer.com/daddy-it-hurts.shtml	None	None	None	Brett M. Christensen	None	'Daddy it Hurts' Anti-Child Abuse Chain Letter	3rd April 2012	None	['None']
hoer-00674	Flower And Wine Delivery Credit Card Warning	true messages	https://www.hoax-slayer.com/flowers-wine-credit-card-scam.shtml	None	None	None	Brett M. Christensen	None	Flower And Wine Delivery Credit Card Scam Warning	26th March 2012	None	['None']
hoer-00029	809 Area Code Scam Warning Email	bogus warning	https://www.hoax-slayer.com/area-code-809-scam.html	None	None	None	Brett M. Christensen	None	809 Area Code Scam Warning Email	April 4, 2014	None	['None']
hoer-01159	Fake Center Parcs Facebook Page	facebook scams	https://www.hoax-slayer.net/fake-center-parcs-facebook-page-is-a-like-farming-scam/	None	None	None	Brett M. Christensen	None	Fake Center Parcs Facebook Page is a Like-Farming Scam	March 14, 2016	None	['None']
hoer-00146	The Westfield Gift Card Competition on Facebook	bogus warning	https://www.hoax-slayer.com/westfield-giftcard-comp-facebook.shtml	None	None	None	Brett M. Christensen	None	Scam Rumours About The Westfield Gift Card Competition on Facebook	November 2009	None	['None']
hoer-00524	'Sarah Palin Calls on Obama to Invade Ebola'	statirical reports	https://www.hoax-slayer.com/sarah-palin-demands-obama-invade-ebola.shtml	None	None	None	Brett M. Christensen	None	Fake-News: 'Sarah Palin Calls on Obama to Invade Ebola'	October 6, 2014	None	['None']
hoer-00073	Eating Shrimp and Taking Vitamin C Can Cause Death by Arsenic Poisoning	bogus warning	https://www.hoax-slayer.com/shrimp-vitamin-c-hoax.shtml	None	None	None	Brett M. Christensen	None	Hoax - Eating Shrimp and Taking Vitamin C Can Cause Death by Arsenic Poisoning	March 11, 2013	None	['None']
hoer-00254	'Australian Cash and Prize Giveaways' Facebook Page	facebook scams	https://www.hoax-slayer.com/australian-cash-and-prize-giveaways-facebook-scam.shtml	None	None	None	Brett M. Christensen	None	LIKE-FARMING SCAM - 'Australian Cash and Prize Giveaways' Facebook Page	May 1, 2014	None	['None']
hoer-01221	Charles Manson Granted Parole	fake news	https://www.hoax-slayer.net/hoax-charles-manson-granted-parole/	None	None	None	Brett M. Christensen	None	Fake-News: Charles Manson Granted Parole	July 17, 2017	None	['None']
hoer-00610	Beware of Fake Obamacare Websites	true messages	https://www.hoax-slayer.com/beware-fake-obamacare-websites.shtml	None	None	None	Brett M. Christensen	None	Beware of Fake Obamacare Websites	October 29, 2013	None	['None']
hoer-00380	Warning - Do Not Add 'Jason Lee' Because Its a Virus	facebook scams	https://www.hoax-slayer.com/jason-lee-virus-hoax.shtml	None	None	None	Brett M. Christensen	None	False Warning - Do Not Add 'Jason Lee' Because Its a Virus	3rd March 2012	None	['None']
hoer-00962	Janet Jackson Facebook Page Promises Free Money and Prizes	facebook scams	https://www.hoax-slayer.net/fake-janet-jackson-facebook-page-promises-free-money-and-prizes/	None	None	None	Brett M. Christensen	None	Fake Janet Jackson Facebook Page Promises Free Money and Prizes	July 11, 2018	None	['None']
hoer-00887	Death From Poisoned Rhino Horn Rumour	unsubstantiated messages	https://www.hoax-slayer.com/poisoned-rhino-horn.shtml	None	None	None	Brett M. Christensen	None	Death From Poisoned Rhino Horn Rumour	31st August 2010	None	['None']
hoer-00628	Naked Mole Rats Not Susceptible To Cancer	true messages	https://www.hoax-slayer.com/naked-mole-rats-cancer.shtml	None	None	None	Brett M. Christensen	None	Naked Mole Rats Not Susceptible To Cancer	June 21, 2013	None	['None']
hoer-00604	Picture: Fields of Spider Silk After Australian Floods	true messages	https://www.hoax-slayer.com/spider-fields-australian-floods.shtml	None	None	None	Brett M. Christensen	None	Picture: Fields of Spider Silk After Australian Floods	November 26, 2013	None	['None']
hoer-00844	New Orleans Library Book Donation Request	true messages	https://www.hoax-slayer.com/library-book-donation.html	None	None	None	Brett M. Christensen	None	New Orleans Library Book Donation Request	April 2006	None	['None']
hoer-00098	Anthrax in Tide Detergent Packs	bogus warning	https://www.hoax-slayer.com/anthrax-tide-detergent-hoax.shtml	None	None	None	Brett M. Christensen	None	Hoax Warning - Anthrax in Tide Detergent Packs	5th January 2012	None	['None']
hoer-00464	Posts About ISIS Attacks in Australia	statirical reports	http://www.hoax-slayer.net/bogus-posts-about-isis-attacks-in-australia-link-to-scam-website/	None	None	None	Brett M. Christensen	None	Bogus Posts About ISIS Attacks in Australia Link to Scam Website	February 11, 2016	None	['None']
hoer-00420	Facebook Instant Personalization	facebook scams	https://www.hoax-slayer.com/facebook-instant-personalization-warning.shtml	None	None	None	Brett M. Christensen	None	Overblown and Outdated Warning - Facebook Instant Personalization	5th August 2011	None	['Timeline_of_Facebook']
hoer-01191	Prayers for Likes Facebook Sick Baby	facebook scams	https://www.hoax-slayer.net/prayers-for-likes-facebook-sick-baby-scam/	None	None	None	Brett M. Christensen	None	Prayers for Likes Facebook Sick Baby Scam	May 20, 2014	None	['None']
hoer-01021	Unsellable Roulotte RV Giveaway	facebook scams	https://www.hoax-slayer.net/facebook-scam-unsellable-roulotte-rv-giveaway/	None	None	None	Brett M. Christensen	None	Facebook Scam Unsellable Roulotte RV Giveaway	April 10, 2017	None	['None']
hoer-00927	He/She Arises Between the Comments Facebook Hack Warning	bogus warning	https://www.hoax-slayer.net/useless-heshe-arises-between-the-comments-facebook-hack-warning/	None	None	None	Brett M. Christensen	None	Useless He/She Arises Between the Comments Facebook Hack Warning	May 6, 2016	None	['None']
hoer-00014	Isis Door Knocking Warning Message	bogus warning	https://www.hoax-slayer.com/isis-marking-christian-homes-false-rumour.shtml	None	None	None	Brett M. Christensen	None	Isis Door Knocking Warning Message is a Hoax	September 29, 2014	None	['None']
hoer-00691	Crop Art - Rice Fields of Japan	true messages	https://www.hoax-slayer.com/japanese-rice-crop-art.shtml	None	None	None	Brett M. Christensen	None	Crop Art - Rice Fields of Japan	27th April 2011	None	['None']
hoer-00452	Clint Eastwood is Moving To Amarillo, Texas	statirical reports	http://www.hoax-slayer.net/clint-eastwood-is-not-moving-to-amarillo-texas/	None	None	None	Brett M. Christensen	None	Clint Eastwood is NOT Moving To Amarillo, Texas	March 23, 2016	None	['Amarillo,_Texas', 'Clint_Eastwood', 'Texas']
hoer-00077	Warning - 'Talking Angela' Threat to Children	bogus warning	https://www.hoax-slayer.com/talking-angela-warning.shtml	None	None	None	Brett M. Christensen	None	Bogus Warning - 'Talking Angela' Threat to Children	February 25, 2013	None	['None']
