peck-00036	How Much Of Kenya’s Budget Is Going Towards The Health Sector?	false	https://pesacheck.org/how-much-of-kenyas-budget-is-going-towards-the-health-sector-5ee2040b1f5	None	None	None	George Githinji	None	How Much Of Kenya’s Budget Is Going Towards The Health Sector?	Jan 15	None	['None']
peck-00039	Are Nine Out Of Ten Tanzanian Children Undernourished?	true	https://pesacheck.org/are-nine-out-of-ten-tanzanian-children-undernourished-b558a8380b16	None	None	None	Belinda Japhet	None	Are Nine Out Of Ten Tanzanian Children Undernourished?	Jan 11	None	['None']
peck-00057	Do 70% of malaria deaths involve children under five?	true	https://pesacheck.org/do-70-of-malaria-deaths-involve-children-under-five-7a2a0d92fe76	None	None	None	Soila Kenya	None	Do 70% of malaria deaths involve children under five?	Apr 30	None	['None']
peck-00037	Is Gender-Based Violence On The Decline In Tanzania?	true	https://pesacheck.org/is-gender-based-violence-on-the-decline-in-tanzania-b5dffe19dc0c	None	None	None	Belinda Japhet	None	Is Gender-Based Violence On The Decline In Tanzania?	Jan 17	None	['None']
peck-00020	Just How Much Public Debt Will Kenya Accumulate By 2019?	false	https://pesacheck.org/does-kenyas-budget-outlook-paper-predict-a-debt-ratio-of-63-by-2019-91df20259263	None	None	None	George Githinji	None	Just How Much Public Debt Will Kenya Accumulate By 2019?	Aug 18, 2017	None	['None']
peck-00050	Is Tanzania’s Unmet Need For Contraceptives At Crisis Levels?	true	https://pesacheck.org/is-tanzanias-unmet-need-for-contraceptives-at-crisis-levels-50375a467707	None	None	None	Belinda Japhet	None	Is Tanzania’s Unmet Need For Contraceptives At Crisis Levels?	Mar 1	None	['Tanzania']
peck-00007	Is Bomet County Withholding Funds for the Elderly?	false	https://pesacheck.org/is-bomet-county-withholding-funds-for-the-elderly-4d2a2b8afa0d	None	None	None	Leo Mutuku	None	Is Bomet County Withholding Funds for the Elderly?	Dec 22, 2016	None	['None']
peck-00044	Do One In Five Ugandan Households Have Access To Electricity?	true	https://pesacheck.org/do-one-in-five-ugandan-households-have-access-to-electricity-6b95fe15d1d9	None	None	None	Emma Laura N Kisa	None	Do One In Five Ugandan Households Have Access To Electricity?	Feb 2	None	['None']
peck-00017	Is Kilifi County Getting Its Fair Share Of Development Funds?	false	https://pesacheck.org/is-the-national-government-withholding-ksh3-2-billion-in-development-funding-for-kilifi-county-22ccfe44ef93	None	None	None	George Githinji	None	Is Kilifi County Getting Its Fair Share Of Development Funds?	Jul 24, 2017	None	['None']
peck-00065	Is Kenya the World’s ‘Least Toxic’ Country?	false	https://pesacheck.org/is-kenya-the-worlds-least-toxic-country-95e48f316663	None	None	None	Soila Kenya	None	Is Kenya the World’s ‘Least Toxic’ Country?	Sep 3	None	['Kenya']
peck-00032	Are Boda Bodas Driving Up Teen Pregnancy In Tanzania?	true	https://pesacheck.org/are-boda-bodas-driving-up-teen-pregnancy-in-tanzania-73bc419819e6	None	None	None	Belinda Japhet	None	Are Boda Bodas Driving Up Teen Pregnancy In Tanzania?	Nov 28, 2017	None	['None']
peck-00062	Did Uganda construct 58% of its roads in 2018 without donor aid?	partially true	https://pesacheck.org/have-58-of-ugandas-roads-been-built-using-only-government-money-e2156f2aa41a	None	None	None	Emma Laura N Kisa	None	Did Uganda construct 58% of its roads in 2018 without donor aid?	Jul 10	None	['None']
peck-00010	Is Parliament Denying Senators Access to Oversight Funds?	false	https://pesacheck.org/is-parliament-denying-senators-access-to-oversight-funds-b4fd50f0f7e4	None	None	None	Leo Mutuku	None	Is Parliament Denying Senators Access to Oversight Funds?	Feb 28, 2017	None	['None']
peck-00055	Does Tanzania need a cervical cancer vaccination programme?	true	https://pesacheck.org/does-tanzania-need-a-nationwide-cervical-cancer-vaccination-programme-ab28864f826e	None	None	None	Belinda Japhet	None	Does Tanzania need a cervical cancer vaccination programme?	Apr 16	None	['None']
peck-00061	Have only 22 counties managed to raise at least 60% of their revenue targets?	true	https://pesacheck.org/have-only-22-counties-met-at-least-60-of-their-revenue-targets-since-2013-f4ec833c3b56	None	None	None	George Githinji	None	Have only 22 counties managed to raise at least 60% of their revenue targets?	Jun 7	None	['None']
peck-00002	Governors or MCAs: Who Really Controls The Money?	false	https://pesacheck.org/governors-or-elected-county-assembly-members-who-really-controls-the-money-8238fad5ca4c	None	None	None	Leo Mutuku	None	Governors or MCAs: Who Really Controls The Money?	Aug 1, 2016	None	['None']
peck-00051	Will Kenya spend 45% of revenue collected in 2018 on debt repayment?	true	https://pesacheck.org/how-much-will-kenya-spend-on-debt-repayment-in-2018-4bde15937400	None	None	None	George Githinji	None	Will Kenya spend 45% of revenue collected in 2018 on debt repayment?	Mar 22	None	['None']
peck-00028	Are Cancer Rates Soaring in Tanzania?	partially true	https://pesacheck.org/are-cancer-rates-soaring-in-tanzania-2821ba06bb13	None	None	None	Mwegelo Kapinga	None	Are Cancer Rates Soaring in Tanzania?	Oct 16, 2017	None	['None']
peck-00006	Has Kiambu County Doubled its Revenue to KSh4.7 billion ?	false	https://pesacheck.org/has-kiambu-county-doubled-its-revenue-to-ksh4-7-billion-a9e16bb140f4	None	None	None	Leo Mutuku	None	Has Kiambu County Doubled its Revenue to KSh4.7 billion ?	Nov 22, 2016	None	['None']
peck-00056	Are 6 million Kenyan women currently suffering from obstetric fistula?	false	https://pesacheck.org/are-6-million-kenyan-women-currently-suffering-from-obstetric-fistula-5c915ec48bb	None	None	None	PesaCheck	None	Are 6 million Kenyan women currently suffering from obstetric fistula?	Apr 9	None	['Kenya']
peck-00014	Has Turkana County received more revenue than Kiambu And Uasin Gishu?	false	https://pesacheck.org/has-turkana-received-more-revenue-than-kiambu-uasin-gishu-counties-fa14358f2001	None	None	None	George Githinji	None	Has Turkana County received more revenue than Kiambu And Uasin Gishu?	May 28, 2017	None	['None']
peck-00052	Are Tanzanians with kidney disease dying because treatment is too expensive?	true	https://pesacheck.org/are-tanzanians-with-kidney-disease-dying-because-treatment-is-too-expensive-b04a8746fc29	None	None	None	Kiki Otieno	None	Are Tanzanians with kidney disease dying because treatment is too expensive?	Mar 29	None	['None']
peck-00023	Is Hypertension At Crisis Levels In Kenya?	partially true	https://pesacheck.org/has-the-incidence-of-hypertension-reached-a-critical-level-in-kenya-c405afdd659f	None	None	None	PesaCheck	None	Is Hypertension At Crisis Levels In Kenya?	Sep 4, 2017	None	['None']
peck-00066	Are Uganda’s diaspora remittances equivalent to 5% of the country’s economy?	true	https://pesacheck.org/are-ugandas-diaspora-remittances-equivalent-to-5-of-the-country-s-economy-47034c820360	None	None	None	Emma Laura N Kisa	None	Are Uganda’s diaspora remittances equivalent to 5% of the country’s economy?	Sep 18	None	['None']
peck-00048	Are Uganda’s jails the second most crowded in Africa?	true	https://pesacheck.org/are-ugandas-jails-the-second-most-crowded-in-africa-522cf166f7f0	None	None	None	Emma Laura N Kisa	None	Are Uganda’s jails the second most crowded in Africa?	Feb 22	None	['None']
peck-00013	How Much Money Should Kakamega County Receive As Revenue Allocation?	false	https://pesacheck.org/how-much-money-has-been-allocated-to-kakamega-county-since-its-inception-8f7dc5a535fc	None	None	None	George Githinji	None	How Much Money Should Kakamega County Receive As Revenue Allocation?	May 15, 2017	None	['None']
peck-00030	Who Is Responsible For Nairobi’s Street Kids?	partially true	https://pesacheck.org/who-is-responsible-for-nairobis-street-kids-c69c3e34fa73	None	None	None	George Githinji	None	Who Is Responsible For Nairobi’s Street Kids?	Oct 6, 2017	None	['None']
peck-00019	Why Hasn’t The Nurses’ CBA Been Signed Yet?	false	https://pesacheck.org/is-src-to-blame-for-the-governors-failure-to-approve-the-nurses-collective-bargaining-agreement-2446846254a8	None	None	None	George Githinji	None	Why Hasn’t The Nurses’ CBA Been Signed Yet?	Aug 2, 2017	None	['None']
peck-00040	Could Uganda Pay For 12 Hospitals With The Cash Spent Treating VIPs Abroad?	false	https://pesacheck.org/could-uganda-pay-for-12-hospitals-with-the-cash-spent-treating-vips-abroad-42138f410227	None	None	None	Emma Laura N Kisa	None	Could Uganda Pay For 12 Hospitals With The Cash Spent Treating VIPs Abroad?	Jan 19	None	['None']
peck-00053	How Much Did Kenya’s MCAs Get In Sitting Allowances In 2017?	false	https://pesacheck.org/how-much-did-kenyas-mcas-get-in-sitting-allowances-in-2017-b687fc2049c1	None	None	None	George Githinji	None	How Much Did Kenya’s MCAs Get In Sitting Allowances In 2017?	Mar 5	None	['None']
peck-00041	Is One Puff Of Shisha Equivalent To Smoking 10 Cigarettes?	false	https://pesacheck.org/is-one-puff-of-shisha-equivalent-to-smoking-10-cigarettes-4e0e5258f44d	None	None	None	Soila Kenya	None	Is One Puff Of Shisha Equivalent To Smoking 10 Cigarettes?	Feb 8	None	['None']
peck-00045	Has Access To Free Maternity Care In Kenya Doubled Since 2013?	false	https://pesacheck.org/has-access-to-free-maternity-care-in-kenya-doubled-since-2013-697eaad5c721	None	None	None	George Githinji	None	Has Access To Free Maternity Care In Kenya Doubled Since 2013?	Feb 23	None	['None']
peck-00011	Is the Zika Virus present in Tanzania?	true	https://pesacheck.org/is-the-zika-virus-present-in-tanzania-54d79ec7be94	None	None	None	Mwegelo Kapinga	None	Is the Zika Virus present in Tanzania?	Mar 30, 2017	None	['None']
peck-00049	Is sexual violence becoming more prevalent in Tanzania?	true	https://pesacheck.org/is-sexual-violence-becoming-more-prevalent-in-tanzania-64617740bbd3	None	None	None	Belinda Japhet	None	Is sexual violence becoming more prevalent in Tanzania?	Mar 9	None	['None']
peck-00021	Are Tanzanian Mothers Entitled To Work ‘Half-Day’ After Maternity Leave?	false	https://pesacheck.org/are-tanzanian-mothers-entitled-to-work-half-day-after-maternity-leave-fb5db39b1548	None	None	None	Belinda Japhet	None	Are Tanzanian Mothers Entitled To Work ‘Half-Day’ After Maternity Leave?	Sep 8, 2017	None	['None']
peck-00018	How Much Money Does The National Government Owe The Counties?	false	https://pesacheck.org/is-the-treasury-holding-onto-ksh73-billion-meant-for-the-counties-d10d64b0df3e	None	None	None	George Githinji	None	How Much Money Does The National Government Owe The Counties?	Jul 3, 2017	None	['None']
peck-00035	Has Free Public Education Led To More Tanzanian Girls In School?	partially true	https://pesacheck.org/are-there-more-tanzanian-girls-in-school-now-that-public-education-is-free-55b26c2a335e	None	None	None	Belinda Japhet	None	Has Free Public Education Led To More Tanzanian Girls In School?	Dec 11, 2017	None	['None']
peck-00026	Are More Kenyan Girls Contracting HIV At Birth Than Boys?	partially true	https://pesacheck.org/are-more-kenyan-girls-contracting-hiv-at-birth-than-boys-c8985fe44e4e	None	None	None	PesaCheck	None	Are More Kenyan Girls Contracting HIV At Birth Than Boys?	Sep 15, 2017	None	['None']
